Step,Value
0,145.569107055664
1,125.058166503906
2,103.899841308594
3,95.9985885620117
4,99.5000305175781
5,98.7657928466797
6,92.0468521118164
7,93.5253219604492
8,94.9545745849609
9,92.9986038208008
10,99.7009658813477
11,104.746383666992
12,102.16690826416
13,107.741813659668
14,116.445625305176
15,131.777847290039
16,141.073654174805
17,136.220001220703
18,134.670318603516
19,139.609939575195
20,136.523773193359
21,133.544326782227
22,131.492828369141
23,130.822143554688
24,130.297241210938
25,141.659057617188
26,138.817993164063
27,136.711044311523
28,134.940231323242
29,139.308654785156
30,138.859725952148
31,150.603332519531
32,153.872680664063
33,157.048141479492
34,155.858184814453
35,153.798126220703
36,153.629547119141
37,155.52278137207
38,154.165374755859
39,155.279418945313
40,154.367340087891
41,153.091918945313
42,152.701583862305
43,152.379119873047
44,155.36882019043
45,155.327178955078
46,156.002746582031
47,157.123153686523
48,156.197280883789
49,156.876388549805
50,160.511611938477
51,159.338241577148
52,161.250076293945
53,160.424835205078
54,162.983642578125
55,161.993270874023
56,161.60856628418
57,161.553207397461
58,163.390167236328
59,165.644927978516
60,164.3369140625
61,163.573944091797
62,163.593246459961
63,162.611206054688
64,163.145782470703
65,166.0615234375
66,165.856506347656
67,179.190017700195
68,179.387451171875
69,179.311737060547
70,178.50260925293
71,178.282241821289
72,177.480850219727
73,177.959167480469
74,179.3974609375
75,179.398681640625
76,178.972625732422
77,179.773056030273
78,179.748565673828
79,182.066055297852
80,181.890640258789
81,182.256088256836
82,182.814743041992
83,182.42610168457
84,182.001373291016
85,181.897064208984
86,180.862594604492
87,182.44172668457
88,181.333648681641
89,181.483169555664
90,182.582580566406
91,183.543823242188
92,186.411224365234
93,186.225875854492
94,185.885406494141
95,187.380508422852
96,187.885787963867
97,189.277969360352
98,188.657424926758
99,187.800445556641
100,187.396102905273
101,187.315521240234
102,188.227294921875
103,189.285034179688
104,190.520324707031
105,192.557708740234
106,193.634292602539
107,194.907302856445
108,194.955657958984
109,198.441116333008
110,199.141723632813
111,199.571014404297
112,200.563217163086
113,201.956161499023
114,200.91340637207
115,200.148620605469
116,200.848709106445
117,202.875991821289
118,203.247436523437
119,202.052780151367
120,203.507797241211
121,208.478759765625
122,208.932693481445
123,209.946655273438
124,210.529296875
125,207.910202026367
126,209.430221557617
127,209.870468139648
128,210.135177612305
129,208.161666870117
130,208.966156005859
131,204.860458374023
132,206.035949707031
133,206.401733398437
134,206.175155639648
135,206.528793334961
136,206.202438354492
137,204.772674560547
138,206.646865844727
139,206.112228393555
140,210.15510559082
141,210.766662597656
142,213.379791259766
143,212.726715087891
144,211.69384765625
145,211.801086425781
146,211.298187255859
147,210.843292236328
148,211.045303344727
149,211.754516601562
150,211.050369262695
151,210.938293457031
152,209.497665405273
153,211.158615112305
154,209.502700805664
155,209.964447021484
