Step,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Mean,StDev,Min,Max
1,-991.930786132813,-1443.85021972656,-1111.49377441406,-1379.90808105469,-1654.13049316406,-909.289794921875,-952.351135253906,-1588.19165039063,-1733.224609375,-970.554565429688,-1273.49251098633,321.228171345679,-1733.224609375,-909.289794921875
2,-1310.13928222656,-1666.26171875,-1662.28674316406,-1109.98876953125,-1554.02868652344,-970.156005859375,-1279.93884277344,-960.686950683594,-991.350219726563,-1304.90148925781,-1280.97387084961,275.305609724274,-1666.26171875,-960.686950683594
3,-872.696899414063,-875.015258789063,-1489.51452636719,-1699.66540527344,-1384.96850585938,-965.638488769531,-858.023559570312,-1257.64135742188,-995.471740722656,-1061.25085449219,-1145.98865966797,295.81273041042,-1699.66540527344,-858.023559570312
4,-1799.912109375,-968.850646972656,-852.114379882813,-1011.81292724609,-1176.06066894531,-1710.83276367188,-1191.13464355469,-1191.46813964844,-1172.53723144531,-961.512084960938,-1203.62355957031,314.278241911429,-1799.912109375,-852.114379882813
5,-1292.57568359375,-903.292053222656,-1082.08996582031,-1469.50122070313,-1154.85266113281,-976.813842773437,-1367.4765625,-970.559875488281,-1018.53277587891,-987.014038085938,-1122.27086791992,192.514430444686,-1469.50122070313,-903.292053222656
6,-912.1669921875,-1018.49145507813,-1589.94848632813,-977.200256347656,-1066.59814453125,-745.602966308594,-1042.97888183594,-1025.6611328125,-1623.56567382813,-1173.6015625,-1117.58155517578,280.672186908193,-1623.56567382813,-745.602966308594
7,-1227.10034179688,-1039.34265136719,-1290.70092773438,-1246.84777832031,-971.026916503906,-1078.06628417969,-745.681091308594,-1263.95825195313,-1334.65478515625,-1383.36962890625,-1158.07486572266,196.903411390945,-1383.36962890625,-745.681091308594
8,-1646.59936523437,-968.746826171875,-1292.87866210938,-999.189270019531,-1469.06127929687,-964.220153808594,-1690.50024414063,-1075.84228515625,-1571.44018554688,-1696.84985351563,-1337.5328125,312.969114089196,-1696.84985351563,-964.220153808594
9,-1696.22326660156,-916.581726074219,-1072.8701171875,-1006.22430419922,-968.538940429688,-1687.26147460938,-1107.93688964844,-1166.73291015625,-1549.54125976563,-1002.68975830078,-1217.46006469727,305.307976231397,-1696.22326660156,-916.581726074219
10,-1160.15258789063,-997.061767578125,-1381.21691894531,-1470.79077148438,-1608.43774414063,-1646.55871582031,-1529.99877929688,-897.645141601562,-1002.79083251953,-885.230041503906,-1257.98833007813,301.816317681481,-1646.55871582031,-885.230041503906
11,-1363.07653808594,-1138.18957519531,-1154.02331542969,-1480.66394042969,-1203.06970214844,-1341.12829589844,-1539.79895019531,-1435.43103027344,-1312.95251464844,-1482.86987304688,-1345.12037353516,143.097756759838,-1539.79895019531,-1138.18957519531
12,-1462.390625,-1344.68505859375,-1202.78833007813,-1583.62353515625,-1557.24267578125,-1579.47387695312,-1372.60656738281,-1355.16259765625,-1562.87145996094,-1353.28540039063,-1437.41301269531,130.797270503001,-1583.62353515625,-1202.78833007813
13,-1531.54223632813,-971.099548339844,-1504.43615722656,-1586.16394042969,-1240.25305175781,-924.792541503906,-1526.77514648438,-1077.58581542969,-1602.20727539063,-1416.46557617188,-1338.13212890625,262.693210158241,-1602.20727539063,-924.792541503906
14,-1207.44262695313,-1206.20776367188,-1270.99584960938,-1464.974609375,-1320.52465820313,-1553.45629882813,-1112.95947265625,-1434.47766113281,-1291.85473632813,-1213.23754882813,-1307.61312255859,137.503916107702,-1553.45629882813,-1112.95947265625
15,-1204.85815429688,-1102.19384765625,-1277.12194824219,-1447.03845214844,-1063.82556152344,-1573.19299316406,-1460.84692382813,-1128.03112792969,-1443.03747558594,-1556.07604980469,-1325.62225341797,193.117817563518,-1573.19299316406,-1063.82556152344
16,-1297.76000976563,-1657.54895019531,-1430.17517089844,-1403.78649902344,-1187.86767578125,-898.525451660156,-1075.60485839844,-1622.0146484375,-1271.83349609375,-1157.84997558594,-1300.29667358398,236.728787047578,-1657.54895019531,-898.525451660156
17,-1407.33618164063,-1306.2607421875,-1356.23229980469,-1498.39013671875,-1478.96984863281,-1135.76025390625,-964.811584472656,-1507.13110351563,-1350.34448242188,-1404.68200683594,-1340.99186401367,171.603548217276,-1507.13110351563,-964.811584472656
