Step,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Mean,StDev,Min,Max
1,-1088.75988769531,-951.622863769531,-1205.044921875,-1495.5234375,-953.518493652344,-1084.83972167969,-890.414916992187,-980.769592285156,-1560.27746582031,-1205.82495117188,-1141.65962524414,229.768681954908,-1560.27746582031,-890.414916992187
2,-884.186950683594,-1293.37194824219,-1634.85595703125,-987.811645507813,-1506.23986816406,-960.651000976563,-1471.37731933594,-1128.02770996094,-1767.78076171875,-1380.32043457031,-1301.46235961914,302.65870262311,-1767.78076171875,-884.186950683594
3,-960.963562011719,-1429.22229003906,-1259.19946289063,-1260.90405273437,-1298.2958984375,-963.507080078125,-1309.10461425781,-1490.48315429688,-1291.03564453125,-1291.57067871094,-1255.42864379883,171.503078634283,-1490.48315429688,-960.963562011719
4,-1420.4462890625,-1160.05725097656,-1292.80786132813,-1288.78918457031,-885.973449707031,-1586.6689453125,-729.593017578125,-962.577819824219,-1160.35046386719,-1188.39221191406,-1167.56564941406,254.657358418692,-1586.6689453125,-729.593017578125
5,-1243.50805664063,-985.912414550781,-1211.23291015625,-1623.01940917969,-1211.48828125,-1362.14831542969,-1236.04162597656,-1326.55212402344,-1175.69348144531,-1029.44738769531,-1240.50440063477,177.579239105145,-1623.01940917969,-985.912414550781
6,-1034.22595214844,-1439.09619140625,-1701.55200195313,-1625.38903808594,-1526.8427734375,-1259.82775878906,-1076.20959472656,-1660.3935546875,-1329.17895507813,-1263.37854003906,-1391.60943603516,237.676811137865,-1701.55200195313,-1034.22595214844
7,-1606.23913574219,-1068.24011230469,-1099.73754882813,-1732.03369140625,-919.924133300781,-1267.91259765625,-965.528015136719,-1066.54553222656,-1745.92687988281,-962.72705078125,-1243.48146972656,327.74877888005,-1745.92687988281,-919.924133300781
8,-969.55126953125,-804.807556152344,-1161.744140625,-1104.75634765625,-1523.00720214844,-867.120849609375,-1077.29345703125,-1409.86926269531,-1373.4423828125,-1073.35095214844,-1136.49434204102,235.668149265197,-1523.00720214844,-804.807556152344
9,-1687.72827148438,-760.192504882813,-876.222717285156,-895.937561035156,-1668.35083007813,-1276.02673339844,-1152.10668945313,-946.478332519531,-1845.48547363281,-1463.78491210937,-1257.23140258789,390.693742885215,-1845.48547363281,-760.192504882813
10,-1340.505859375,-791.687133789063,-997.233093261719,-1319.10510253906,-1566.861328125,-916.957336425781,-1200.61486816406,-1145.94348144531,-1603.33508300781,-1170.54455566406,-1205.27878417969,263.027831786946,-1603.33508300781,-791.687133789063
11,-1643.95446777344,-1189.02856445313,-1398.87670898438,-953.997680664063,-1571.06457519531,-1300.49353027344,-873.892395019531,-1770.15881347656,-1591.76818847656,-1094.12768554688,-1338.73626098633,307.085565147398,-1770.15881347656,-873.892395019531
12,-926.421752929688,-1081.70666503906,-997.483215332031,-906.437072753906,-1561.095703125,-1197.1240234375,-1109.03442382813,-945.958129882813,-1100.32495117188,-1080.11572265625,-1090.57016601563,189.677933532924,-1561.095703125,-906.437072753906
13,-1282.61767578125,-817.613708496094,-1411.48718261719,-1616.80053710938,-1392.08984375,-912.052734375,-943.702270507812,-954.248413085938,-1732.54455566406,-1076.53588867188,-1213.96928100586,318.727445272488,-1732.54455566406,-817.613708496094
14,-893.381774902344,-1178.43273925781,-1034.81713867188,-1701.20861816406,-1045.6044921875,-1107.55346679688,-1597.88195800781,-1440.5859375,-903.720275878906,-994.217712402344,-1189.74041137695,288.795728017098,-1701.20861816406,-893.381774902344
15,-1486.31530761719,-1042.16125488281,-1298.39697265625,-1354.11254882813,-1110.11596679688,-1010.32061767578,-1100.41735839844,-878.407897949219,-1483.595703125,-879.603454589844,-1164.34470825195,228.055847869964,-1486.31530761719,-878.407897949219
16,-1234.84790039063,-1743.47399902344,-862.682495117187,-882.099792480469,-1475.53576660156,-633.431518554688,-1025.16650390625,-855.465087890625,-1248.34936523438,-1057.72253417969,-1101.87749633789,330.64132057255,-1743.47399902344,-633.431518554688
17,-1189.90466308594,-1555.03149414063,-1384.59851074219,-898.201599121094,-641.009582519531,-648.877868652344,-605.214782714844,-1587.826171875,-1756.37878417969,-1182.4521484375,-1144.94956054688,428.33688936639,-1756.37878417969,-605.214782714844
18,-1181.27478027344,-1487.23803710938,-1141.50109863281,-1197.52490234375,-1395.33813476563,-1169.54113769531,-1541.28955078125,-1227.52648925781,-1104.93884277344,-1624.55297851563,-1307.07259521484,187.747470577751,-1624.55297851563,-1104.93884277344
19,-1570.39428710938,-1489.27001953125,-1147.38159179688,-991.316711425781,-1064.95080566406,-637.632629394531,-1185.548828125,-1265.80773925781,-987.015319824219,-782.649536132813,-1112.19674682617,288.419273177627,-1570.39428710938,-637.632629394531
20,-1220.17248535156,-1187.47839355469,-1238.34790039063,-1036.97619628906,-781.421569824219,-389.841278076172,-866.78125,-774.900512695313,-1311.16357421875,-1765.05895996094,-1057.21421203613,377.078177015283,-1765.05895996094,-389.841278076172
21,-1155.77502441406,-1556.82153320313,-1037.74060058594,-973.453674316406,-1238.85290527344,-1224.73986816406,-824.685302734375,-1223.34350585938,-1037.47387695313,-980.419616699219,-1125.33059082031,202.575509846751,-1556.82153320313,-824.685302734375
22,-1322.10205078125,-891.312255859375,-1292.35803222656,-1237.16687011719,-913.209350585938,-1209.9833984375,-1043.79174804688,-1226.97314453125,-1207.77294921875,-1613.42370605469,-1195.80935058594,210.393677007064,-1613.42370605469,-891.312255859375
23,-1332.43371582031,-1209.53674316406,-1244.41430664063,-1070.02136230469,-876.163269042969,-682.416870117187,-1037.32165527344,-1181.47937011719,-1555.56372070313,-926.417114257812,-1111.57681274414,249.255124116398,-1555.56372070313,-682.416870117187
