Step,Value
0,78.2718734741211
1,124.925109863281
2,104.942794799805
3,109.476943969727
4,111.518051147461
5,104.21280670166
6,108.228904724121
7,115.359916687012
8,109.722045898438
9,105.992431640625
10,101.436248779297
11,99.368408203125
12,96.7428588867188
13,101.689552307129
14,99.407829284668
15,96.1295318603516
16,95.2039108276367
17,94.5831909179688
18,93.1130065917969
19,90.9756927490234
20,89.2819976806641
21,88.813850402832
22,90.6730880737305
23,91.1743698120117
24,89.9775009155274
25,88.9045867919922
26,89.3960113525391
27,90.1412048339844
28,101.982933044434
29,107.784141540527
30,110.24422454834
31,110.272430419922
32,109.152214050293
33,108.808753967285
34,107.544128417969
35,107.734725952148
36,109.780487060547
37,110.746452331543
38,114.15315246582
39,116.044288635254
40,114.790100097656
41,115.62979888916
42,118.029525756836
43,118.101959228516
44,118.267639160156
45,118.427543640137
46,119.663093566895
47,118.98078918457
48,119.948593139648
49,119.897369384766
50,120.85725402832
51,120.712661743164
52,122.08602142334
53,122.441993713379
54,123.713348388672
55,123.965492248535
56,125.62092590332
57,126.869735717773
58,128.999588012695
59,129.013336181641
60,129.105041503906
61,130.045166015625
62,129.260498046875
63,129.809951782227
64,131.534637451172
65,131.370544433594
66,130.678283691406
67,129.908142089844
68,129.179763793945
69,130.329406738281
70,134.52197265625
71,133.931442260742
72,134.986740112305
73,136.685089111328
74,138.164611816406
75,138.17448425293
76,138.838195800781
77,139.22639465332
78,139.774780273438
79,139.956329345703
80,139.19792175293
81,139.271881103516
82,141.098342895508
83,140.612426757813
84,140.503402709961
85,142.514617919922
86,143.772247314453
87,145.324401855469
88,144.657943725586
89,144.52131652832
90,144.961837768555
91,144.969207763672
92,144.569946289063
93,144.467712402344
94,143.971374511719
95,144.100204467773
96,143.593246459961
97,143.408264160156
98,143.100357055664
99,143.841583251953
100,145.194885253906
101,144.664978027344
102,145.071533203125
103,144.721374511719
104,144.623733520508
105,146.833251953125
106,146.608108520508
107,146.623458862305
108,147.12858581543
109,147.219635009766
110,150.247543334961
111,150.522735595703
112,152.221862792969
113,153.196502685547
114,153.312973022461
115,153.794052124023
116,154.46142578125
117,154.693374633789
118,155.624145507813
119,156.373458862305
120,156.749206542969
121,157.607849121094
122,157.056365966797
123,157.147872924805
124,159.883834838867
125,161.457962036133
126,162.168395996094
127,163.167694091797
128,160.54963684082
129,158.699356079102
130,159.037673950195
131,160.701232910156
132,164.510314941406
133,165.178909301758
134,166.480590820313
135,167.796569824219
136,167.070373535156
137,166.539047241211
138,165.686248779297
139,167.107620239258
140,168.201324462891
141,167.80744934082
142,166.458969116211
143,166.143249511719
144,166.292724609375
145,166.948303222656
146,167.547744750977
147,167.922821044922
148,168.128555297852
149,168.087478637695
150,167.424606323242
151,168.261749267578
152,168.335494995117
153,168.462356567383
154,170.571960449219
155,170.359725952148
156,169.730438232422
157,169.660125732422
158,169.789138793945
159,169.97509765625
160,169.771926879883
161,169.912155151367
162,170.255706787109
163,169.671249389648
164,168.110336303711
165,169.531372070313
166,171.319808959961
167,171.51594543457
168,171.662353515625
169,170.419921875
170,167.569274902344
171,170.149765014648
172,168.906631469727
173,166.590301513672
174,167.703079223633
175,168.156433105469
176,167.906707763672
177,169.763885498047
178,168.899505615234
179,168.458465576172
180,170.037658691406
181,169.917572021484
182,168.086318969727
183,168.326477050781
184,167.964614868164
185,167.677322387695
186,168.135177612305
187,169.473754882813
188,170.842071533203
189,170.74870300293
190,169.67008972168
191,169.428848266602
192,169.69514465332
193,169.505386352539
194,169.513275146484
195,169.601272583008
196,172.462738037109
197,173.406234741211
198,173.239135742188
199,171.8388671875
200,171.237991333008
201,173.9033203125
202,173.784942626953
203,174.44694519043
204,174.476028442383
205,172.671768188477
206,173.019409179688
207,173.383941650391
208,175.880645751953
209,175.944381713867
210,173.720748901367
211,174.244583129883
212,173.165283203125
213,172.472122192383
214,176.274230957031
215,177.345932006836
216,177.148239135742
217,179.123001098633
218,178.884811401367
219,180.357833862305
220,180.789489746094
221,180.484558105469
222,182.870895385742
223,183.40217590332
224,180.833618164063
225,180.783813476563
226,180.998199462891
227,180.06005859375
228,180.08708190918
229,180.05354309082
230,179.235290527344
231,178.218734741211
232,176.008438110352
233,175.894256591797
234,176.990646362305
235,176.966842651367
236,177.815185546875
