Step,Value,Min,Max,Error
1,-1217.3092041015625,-1700.5113525390625,-898.5220336914062,251.05706787109372
2,-1196.125732421875,-1592.4617919921875,-780.070068359375,215.9771728515625
3,-1194.400146484375,-1703.23193359375,-855.3087158203125,284.01751708984375
4,-1233.296630859375,-1802.2877197265625,-862.546630859375,281.37313842773443
5,-1248.8114013671875,-1643.490234375,-878.96337890625,233.73306274414062
6,-1247.9539794921875,-1636.910400390625,-922.9943237304688,227.55274963378903
7,-1308.642578125,-1792.1871337890625,-755.2940063476562,283.2181396484375
8,-1193.2578125,-1673.718994140625,-879.0438842773438,251.89659118652344
9,-1367.653076171875,-1762.2896728515625,-900.9652099609376,235.7350616455078
10,-1218.518798828125,-1850.8067626953125,-813.6249389648438,283.4306945800781
11,-1349.7562255859375,-1744.043212890625,-956.1317138671876,237.24713134765625
12,-1342.6904296875,-1679.7801513671875,-756.49755859375,239.46087646484372
13,-1382.212890625,-1629.194580078125,-1087.3729248046877,139.24017333984378
14,-1433.7655029296875,-1643.397216796875,-1022.0875854492188,198.6871032714844
15,-1500.30322265625,-1654.9473876953125,-1244.9388427734375,120.02748107910156
16,-1505.212890625,-1770.574462890625,-1180.908935546875,184.14161682128903
17,-1594.07666015625,-1717.416748046875,-1339.1549072265625,105.9406280517578
18,-1620.5562744140625,-1785.2242431640625,-1412.8460693359375,91.29444885253906
19,-1605.3916015625,-1783.6796875,-1383.7255859375,115.17735290527344
20,-1611.8656005859375,-1829.1973876953125,-1364.071533203125,136.43319702148438
21,-1525.9781494140625,-1745.877685546875,-1010.7682495117188,177.70916748046875
22,-1522.2537841796875,-1716.407470703125,-1159.226806640625,157.1578369140625
23,-1450.5262451171875,-1735.3037109375,-852.91357421875,179.24835205078125
24,-1523.2796630859375,-1901.4791259765625,-1247.443603515625,147.95236206054688
25,-1431.4512939453125,-1662.555908203125,-1065.4730224609377,149.13328552246094
26,-1470.681884765625,-1622.67822265625,-1247.4559326171875,81.87944030761719
27,-1454.709716796875,-1516.634765625,-1238.8326416015625,69.12194061279297
28,-1460.8492431640625,-1746.5201416015625,-1178.7947998046875,116.28804779052734
29,-1479.62841796875,-1607.745849609375,-1377.7496337890625,57.12911605834961
30,-1460.4595947265625,-1591.0048828125,-1306.7159423828125,70.92979431152344
31,-1353.491455078125,-1524.904541015625,-13.108765602111815,345.5871276855469
32,-1414.58984375,-1555.6693115234375,-1089.6119384765623,115.39478302001952
33,-1452.8609619140625,-1523.3673095703125,-1209.9776611328125,73.37237548828125
34,-1460.365966796875,-1509.342041015625,-1355.561279296875,51.50382995605469
35,-1404.38916015625,-1560.273681640625,-1086.42333984375,118.8577651977539
36,-1323.53955078125,-1514.9700927734375,-1.5604774951934814,352.2220153808594
37,-1455.709716796875,-1567.6861572265625,-1224.5897216796875,88.67314147949219
38,-1395.6717529296875,-1526.5916748046875,-1112.0760498046877,111.4156494140625
39,-1410.4554443359375,-1504.2066650390625,-1115.903564453125,106.10072326660156
40,-1406.0865478515625,-1529.1773681640625,-1175.528564453125,108.48277282714844
41,-1399.7418212890625,-1518.385009765625,-1097.40234375,113.3255386352539
42,-1306.0791015625,-1506.58447265625,-3.6597216129302983,339.34283447265625
43,-1309.052734375,-1498.3173828125,-4.316061496734618,336.8274230957031
44,-1346.5184326171875,-1497.3953857421875,-759.3414306640625,173.4915313720703
45,-1342.207275390625,-1499.97509765625,-862.7421875,169.37030029296875
46,-1344.11328125,-1505.8818359375,-1083.84716796875,118.53440856933594
47,-1219.81591796875,-1520.1754150390625,-12.168853759765625,359.84912109375
48,-1333.8759765625,-1501.3636474609375,-1113.4586181640623,128.67210388183594
49,-1176.4248046875,-1500.2686767578125,-280.1351928710937,319.07635498046875
50,-1206.5887451171875,-1493.8790283203125,-816.4849243164062,134.30691528320312
51,-1166.2861328125,-1502.13037109375,-12.797884941101074,317.4654541015625
52,-972.3095703125,-1514.6824951171875,-2.0299606323242188,537.273193359375
53,-947.5339965820312,-1506.84716796875,-3.075049877166748,625.4683837890625
54,-1090.937744140625,-1511.218017578125,-5.447675704956055,435.71826171875
55,-1201.5836181640625,-1495.709228515625,-1017.4469604492188,135.50129699707028
56,-1102.61767578125,-1497.8619384765625,-132.92460632324222,339.4954528808594
57,-881.392822265625,-1499.7138671875,-0.7270070314407349,518.3711547851561
58,-1046.93115234375,-1513.306396484375,-1.5057138204574585,399.7806091308594
59,-1174.91455078125,-1527.158935546875,-533.4462280273439,269.085693359375
60,-1138.1153564453125,-1500.70166015625,-721.964111328125,179.68865966796875
61,-818.80810546875,-1481.439453125,-1.2765506505966189,414.6356506347656
62,-910.082275390625,-1519.9334716796875,-1.5572530031204224,472.68450927734375
63,-1034.145263671875,-1498.061279296875,-132.40583801269528,358.8279724121094
64,-827.50439453125,-1229.42626953125,-2.0607249736785893,390.3830261230469
65,-887.65625,-1501.2783203125,-1.147769331932068,430.9872741699219
66,-695.1452026367188,-1497.54150390625,-1.4299747943878174,490.5480651855469
67,-936.5280151367188,-1522.9375,-1.146443486213684,475.0128784179688
68,-806.0025024414062,-1502.516357421875,-2.063494920730591,440.7638854980469
69,-824.48974609375,-1493.185302734375,-2.2247095108032227,428.3600158691406
70,-807.9017944335938,-1498.841796875,-1.3715124130249023,470.74603271484375
71,-620.9981079101562,-1491.1065673828125,-1.506602168083191,383.4061584472656
72,-608.8502807617188,-1494.203125,-1.3983194828033447,415.72509765625
73,-435.8706970214844,-1069.915771484375,-0.40358319878578186,364.8714904785156
74,-476.0948181152344,-1165.39404296875,-0.7091721296310425,366.652587890625
75,-552.8294677734375,-1073.6832275390623,-0.5520634055137634,358.7251281738281
76,-658.9105834960938,-1498.1795654296875,-2.966770648956299,438.229248046875
77,-614.5087280273438,-1507.313232421875,-7.571118354797362,372.9364013671875
78,-744.2364501953125,-1501.307373046875,-2.9755115509033203,477.3628845214844
79,-710.8253784179688,-1515.5992431640625,-1.7122156620025637,511.0568542480469
80,-758.9031372070312,-1506.2623291015625,-134.44914245605472,463.1373596191406
81,-452.385009765625,-823.5065307617188,-0.9530749320983888,293.7096862792969
82,-418.1548767089844,-908.6793823242188,-1.2082568407058716,266.68374633789057
83,-647.4120483398438,-1501.4273681640625,-1.7205864191055298,489.053466796875
84,-588.248779296875,-1500.8045654296875,-0.7928087711334229,464.7383117675781
85,-610.6051025390625,-1499.819580078125,-3.985414743423462,461.4030456542969
86,-337.0048522949219,-1493.201416015625,-1.0455358028411863,347.5387268066406
