Step,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Mean,StDev,Min,Max
1,-991.930786132813,-1443.85021972656,-1111.49377441406,-1379.90808105469,-1654.13049316406,-909.289794921875,-952.351135253906,-1588.19165039063,-1733.224609375,-970.554565429688,-1273.49251098633,321.228171345679,-1733.224609375,-909.289794921875
2,-1151.03503417969,-1555.05603027344,-1386.89025878906,-1244.94848632813,-1604.07958984375,-939.722900390625,-1116.14501953125,-1274.43933105469,-1362.28735351563,-1137.72802734375,-1277.233203125,205.365081439406,-1604.07958984375,-939.722900390625
3,-1058.25561523438,-1328.37573242188,-1421.09838867188,-1396.52075195313,-1531.04260253906,-948.361450195313,-1030.1044921875,-1268.83996582031,-1240.01550292969,-1112.23571777344,-1233.48502197266,191.102832808231,-1531.04260253906,-948.361450195313
4,-1243.66979980469,-1238.49450683594,-1278.85241699219,-1300.34375,-1442.29711914063,-1138.97924804688,-1070.36206054688,-1249.4970703125,-1223.14599609375,-1074.55480957031,-1226.01967773437,110.987901428812,-1442.29711914063,-1070.36206054688
5,-1253.45092773438,-1171.45397949219,-1239.49987792969,-1334.17529296875,-1384.80822753906,-1106.54614257812,-1129.78491210938,-1193.70959472656,-1182.22326660156,-1057.04663085937,-1205.26988525391,100.866534398701,-1384.80822753906,-1057.04663085937
6,-1196.5703125,-1145.96020507813,-1297.90795898438,-1274.67944335938,-1331.77319335938,-1046.38891601563,-1115.31726074219,-1165.70153808594,-1255.78039550781,-1076.47241210938,-1190.65516357422,97.1255762906942,-1331.77319335938,-1046.38891601563
7,-1200.93176269531,-1130.72912597656,-1296.87841796875,-1270.70349121094,-1280.23803710938,-1050.91430664063,-1062.51208496094,-1179.73815917969,-1267.04821777344,-1120.31494140625,-1186.00085449219,91.9222500971192,-1296.87841796875,-1050.91430664063
8,-1256.64013671875,-1110.48132324219,-1296.37841796875,-1236.76416015625,-1303.84094238281,-1040.07751464844,-1141.01062011719,-1166.75122070313,-1305.09716796875,-1192.38171386719,-1204.94232177734,90.4707810111759,-1305.09716796875,-1040.07751464844
9,-1305.48278808594,-1088.93701171875,-1271.54418945313,-1211.14868164063,-1266.58520507813,-1111.98681640625,-1137.33569335938,-1166.74914550781,-1332.25756835938,-1171.30493164063,-1206.333203125,84.2161184666144,-1332.25756835938,-1088.93701171875
10,-1290.94970703125,-1079.74938964844,-1282.51147460938,-1237.11291503906,-1300.77038574219,-1165.44409179688,-1176.60205078125,-1139.83874511719,-1299.31091308594,-1142.69738769531,-1211.49870605469,80.4551199120607,-1300.77038574219,-1079.74938964844
