Step,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Mean,StDev,Min,Max
1,-1088.75988769531,-951.622863769531,-1205.044921875,-1495.5234375,-953.518493652344,-1084.83972167969,-1084.83972167969,-980.769592285156,-1560.27746582031,-1205.82495117188,-1161.10210571289,213.819062245096,-1560.27746582031,-951.622863769531
2,-986.473388671875,-1122.49743652344,-1419.95043945313,-1241.66760253906,-1229.87927246094,-1022.74536132813,-1022.74536132813,-1054.39868164063,-1664.02917480469,-1293.07275390625,-1205.74594726563,213.515814712136,-1664.02917480469,-986.473388671875
3,-977.970153808594,-1224.73901367188,-1366.36682128906,-1248.07971191406,-1252.68481445313,-1002.99926757813,-1002.99926757813,-1199.76013183594,-1539.69799804688,-1292.57202148438,-1210.78692016602,177.355232436388,-1539.69799804688,-977.970153808594
4,-1088.58911132813,-1208.56860351563,-1347.97705078125,-1258.25708007813,-1161.00695800781,-1148.91662597656,-1148.91662597656,-1140.46459960938,-1444.86108398438,-1266.52709960938,-1221.40848388672,109.473700065299,-1444.86108398438,-1088.58911132813
5,-1119.57299804688,-1164.03735351563,-1320.62829589844,-1331.20959472656,-1171.10327148438,-1191.56298828125,-1191.56298828125,-1177.68212890625,-1391.02758789063,-1219.11120605469,-1227.74984130859,88.2928670412026,-1391.02758789063,-1119.57299804688
6,-1105.34838867188,-1209.88049316406,-1384.11547851563,-1380.23950195313,-1230.39318847656,-1202.9404296875,-1202.9404296875,-1258.13403320313,-1380.71948242188,-1226.48901367188,-1258.12004394531,93.8934071945064,-1384.11547851563,-1105.34838867188
7,-1176.904296875,-1189.64611816406,-1343.49011230469,-1430.49572753906,-1186.04040527344,-1212.22216796875,-1212.22216796875,-1230.76416015625,-1432.89196777344,-1188.80871582031,-1260.34858398437,102.05813775351,-1432.89196777344,-1176.904296875
8,-1150.98510742188,-1141.54138183594,-1320.77185058594,-1389.7783203125,-1228.16125488281,-1169.08447265625,-1169.08447265625,-1253.15234375,-1425.46069335938,-1174.37658691406,-1242.2396484375,103.063353018254,-1425.46069335938,-1141.54138183594
9,-1210.62329101563,-1099.16918945313,-1271.37756347656,-1334.90710449219,-1277.0712890625,-1180.96704101563,-1180.96704101563,-1219.07751464844,-1472.13012695313,-1206.53308105469,-1245.28232421875,102.304246991917,-1472.13012695313,-1099.16918945313
10,-1223.61157226562,-1068.42102050781,-1243.96301269531,-1333.32690429688,-1306.05029296875,-1154.56604003906,-1154.56604003906,-1211.76403808594,-1485.25061035156,-1202.93420410156,-1238.44537353516,115.3202996234,-1485.25061035156,-1068.42102050781
11,-1261.82446289063,-1079.38537597656,-1258.04614257813,-1298.84252929688,-1330.14245605469,-1167.83215332031,-1167.83215332031,-1262.52722167969,-1494.93408203125,-1193.04272460938,-1251.44093017578,113.038060697348,-1494.93408203125,-1079.38537597656
12,-1233.87426757813,-1079.57873535156,-1236.33251953125,-1266.14208984375,-1349.38854980469,-1170.27319335938,-1170.27319335938,-1236.146484375,-1462.04992675781,-1183.63208007813,-1238.76910400391,105.747123356238,-1462.04992675781,-1079.57873535156
13,-1237.62377929688,-1059.42761230469,-1249.80603027344,-1293.11572265625,-1352.67321777344,-1150.41003417969,-1150.41003417969,-1214.46203613281,-1482.85729980469,-1175.39392089844,-1236.61796875,119.242455885593,-1482.85729980469,-1059.42761230469
