Step,Value,Min,Max,Error
1,-1229.146728515625,-1716.781982421875,-874.904052734375,262.05636596679693
2,-1218.7061767578125,-1479.88232421875,-981.247314453125,150.66505432128906
3,-1203.2159423828125,-1390.048828125,-979.5875244140624,123.75154113769531
4,-1190.543701171875,-1371.083740234375,-1011.5140991210938,103.29168701171876
5,-1186.7181396484375,-1330.0172119140625,-962.10009765625,90.85791015625
6,-1186.1722412109375,-1346.2213134765625,-965.4498291015624,89.1791000366211
7,-1183.5321044921875,-1326.7037353515625,-954.3536987304688,92.3095245361328
8,-1189.300048828125,-1322.6800537109375,-970.0770874023438,91.46979522705078
9,-1190.152587890625,-1311.98681640625,-1016.7476196289062,78.98161315917969
10,-1199.7913818359375,-1314.122802734375,-1020.4703979492188,76.37014770507812
11,-1215.2972412109375,-1343.6590576171875,-1036.204833984375,73.52588653564453
12,-1230.3992919921875,-1342.3277587890625,-1073.425048828125,65.63038635253906
13,-1240.4547119140625,-1341.24365234375,-1082.3194580078123,64.80792236328125
14,-1257.0140380859375,-1325.8314208984375,-1123.23828125,54.79920959472656
15,-1275.2952880859375,-1347.627197265625,-1154.7218017578125,51.245948791503906
16,-1292.289306640625,-1372.3743896484375,-1180.570068359375,54.23065948486328
17,-1312.19970703125,-1388.3797607421875,-1214.7188720703125,53.2076301574707
18,-1330.138427734375,-1408.6551513671875,-1237.9888916015625,51.71070861816406
19,-1346.1707763671875,-1427.7901611328125,-1259.2366943359375,50.1177978515625
20,-1359.598388671875,-1432.491943359375,-1273.4320068359375,47.10152816772461
21,-1369.3671875,-1435.810791015625,-1284.613037109375,44.58793640136719
22,-1374.949951171875,-1439.572509765625,-1289.551513671875,43.25544357299805
23,-1379.6502685546875,-1443.140625,-1297.17431640625,41.64928436279297
24,-1383.3634033203125,-1445.2503662109375,-1305.275146484375,40.916259765625
25,-1387.3760986328125,-1449.4296875,-1310.2391357421875,40.12864303588867
26,-1389.7327880859375,-1450.9775390625,-1315.2830810546875,38.27058792114258
27,-1391.9566650390625,-1451.93017578125,-1318.2750244140625,37.94367980957031
28,-1394.084716796875,-1453.947265625,-1324.9945068359375,36.57162094116211
29,-1397.215087890625,-1456.157470703125,-1331.2513427734375,35.081771850585945
30,-1396.7003173828125,-1457.6068115234375,-1332.5855712890625,33.876991271972656
31,-1397.815673828125,-1455.29443359375,-1328.02001953125,33.7264404296875
32,-1399.431640625,-1456.44287109375,-1330.8873291015625,32.35564422607422
33,-1400.5994873046875,-1452.677734375,-1331.3795166015625,31.670995712280273
34,-1399.216064453125,-1450.64501953125,-1334.8843994140625,29.24003028869629
35,-1395.965087890625,-1452.51025390625,-1332.5782470703125,31.86902046203613
36,-1392.541015625,-1453.765380859375,-1326.5316162109375,34.593399047851555
37,-1386.893798828125,-1455.279541015625,-1290.7188720703125,37.52937698364258
38,-1382.7425537109375,-1426.1632080078125,-1296.5189208984375,33.30558395385742
39,-1382.13525390625,-1424.18115234375,-1301.619873046875,32.885547637939446
40,-1380.6263427734375,-1421.586181640625,-1306.5394287109375,33.29330825805664
41,-1372.65185546875,-1421.95947265625,-1306.791748046875,35.23030471801758
42,-1368.2586669921875,-1422.3189697265625,-1307.8543701171875,34.611034393310554
43,-1364.8782958984375,-1418.3482666015625,-1312.1138916015625,32.58786773681641
44,-1360.169189453125,-1414.576904296875,-1309.2568359375,32.341114044189446
45,-1354.5040283203125,-1412.3751220703125,-1280.20166015625,35.45417785644531
46,-1349.6949462890625,-1413.0009765625,-1277.0816650390625,35.61433029174805
47,-1343.0504150390625,-1414.7523193359375,-1274.6212158203125,35.227203369140625
48,-1338.968505859375,-1415.1287841796875,-1271.7127685546875,34.250991821289055
49,-1336.626953125,-1392.6993408203125,-1268.6104736328125,30.690174102783203
50,-1329.8453369140625,-1388.7266845703125,-1243.3179931640625,33.50485610961914
51,-1324.638916015625,-1384.95166015625,-1240.632568359375,33.52989959716797
52,-1319.705078125,-1380.8204345703125,-1235.79150390625,35.80266189575195
53,-1314.532470703125,-1375.80712890625,-1231.04833984375,36.16909408569336
54,-1308.4642333984375,-1378.1324462890625,-1227.71826171875,37.712310791015625
55,-1302.5953369140625,-1373.8604736328125,-1222.4171142578125,38.65169906616211
56,-1295.515625,-1369.7003173828125,-1200.6380615234375,40.36681747436523
57,-1292.02099609375,-1372.2353515625,-1198.25244140625,40.12462615966797
58,-1285.3712158203125,-1374.711669921875,-1197.5423583984375,40.04180145263672
59,-1276.478759765625,-1368.966796875,-1191.6644287109375,42.12141418457031
60,-1269.9361572265625,-1371.093994140625,-1192.0791015625,42.98846054077149
61,-1261.490234375,-1366.689208984375,-1185.6937255859375,40.755859375
62,-1253.195556640625,-1362.9261474609375,-1180.002685546875,41.51226043701172
63,-1243.2684326171875,-1355.8411865234375,-1161.305419921875,44.31814575195313
64,-1235.267333984375,-1349.019287109375,-1151.4302978515625,47.08790588378906
65,-1226.78515625,-1351.2069091796875,-1146.7958984375,47.28955841064453
66,-1216.1402587890625,-1348.69921875,-1135.8726806640625,49.05208587646485
67,-1206.4180908203125,-1342.098876953125,-1120.9852294921877,50.4339714050293
68,-1196.3548583984375,-1338.5714111328125,-1117.037353515625,51.92475128173828
69,-1187.935791015625,-1334.102294921875,-1106.11474609375,52.82168579101562
70,-1177.603515625,-1330.00830078125,-1092.2099609375,54.82199478149414
71,-1167.689208984375,-1326.265380859375,-1080.689697265625,54.7901611328125
72,-1157.56640625,-1320.68505859375,-1067.4647216796877,55.87306213378906
73,-1147.5985107421875,-1313.383056640625,-1052.8546142578123,57.41195678710938
74,-1137.3089599609375,-1308.2916259765625,-1044.645751953125,57.2451171875
75,-1126.559326171875,-1299.744384765625,-1034.1971435546877,57.00510025024414
76,-1114.97998046875,-1291.3197021484375,-1022.377197265625,57.36868286132813
77,-1107.5877685546877,-1285.2330322265625,-1012.50244140625,59.17275619506836
78,-1099.250732421875,-1279.4599609375,-999.5621948242188,60.39260482788086
79,-1089.670166015625,-1271.5445556640625,-990.2425537109376,60.01686477661133
80,-1079.6767578125,-1264.320556640625,-979.5225219726562,60.38921356201172
81,-1070.84228515625,-1258.1998291015625,-970.6557006835938,60.69582748413086
82,-1061.149658203125,-1253.416259765625,-962.0457153320312,61.14265823364258
83,-1052.0191650390623,-1247.5933837890625,-954.2578125,61.64229965209961
84,-1043.2841796875,-1250.537841796875,-942.9359741210938,64.45816802978516
85,-1033.646728515625,-1245.7420654296875,-933.39306640625,65.75994873046875
86,-1025.9326171875,-1241.0966796875,-922.5581665039062,66.21090698242189
87,-1017.3988037109376,-1237.26025390625,-914.9859619140624,67.35308074951172
88,-1008.8944702148438,-1235.10595703125,-906.0732421875,68.15719604492189
89,-1001.13427734375,-1233.49365234375,-895.8980712890625,69.60916137695311
90,-993.6912841796876,-1231.97216796875,-887.4007568359375,71.35356903076172
91,-986.865478515625,-1229.54150390625,-881.9033203125,71.44296264648438
92,-980.1079711914062,-1229.36328125,-875.375244140625,73.08651733398438
93,-972.2560424804688,-1229.2342529296875,-865.9722290039062,74.6230697631836
94,-965.0648193359376,-1229.8133544921875,-858.1408081054688,76.4560546875
95,-960.1720581054688,-1229.5592041015625,-850.5109252929688,77.71066284179688
96,-954.0582885742188,-1229.410888671875,-844.1481323242188,79.23191833496094
