Step,Value,Min,Max,Error
1,-1222.25732421875,-1560.0889892578125,-822.1615600585938,240.51480102539062
2,-1218.4310302734375,-1548.0382080078125,-845.0501098632812,204.44818115234372
3,-1182.88427734375,-1420.172119140625,-889.1220703125,173.1858673095703
4,-1188.1082763671875,-1359.6982421875,-954.5287475585938,121.00984954833984
5,-1215.19482421875,-1357.4127197265625,-954.1038208007812,118.53008270263672
6,-1204.0379638671875,-1364.4320068359375,-943.2092895507812,113.87540435791016
7,-1185.5087890625,-1306.84619140625,-976.1043090820312,88.52108764648438
8,-1207.368896484375,-1356.16357421875,-978.1674194335938,93.61767578125
9,-1205.570068359375,-1392.423828125,-983.0838012695312,103.64696502685548
10,-1196.7435302734375,-1342.183349609375,-986.3602905273438,93.99069213867188
11,-1205.0274658203125,-1329.199462890625,-1040.4215087890623,77.83745574951172
12,-1190.006103515625,-1318.984619140625,-953.9959106445312,90.82518768310548
13,-1169.0633544921875,-1298.1077880859375,-1016.24560546875,67.59766387939453
14,-1146.0294189453125,-1264.782958984375,-1038.7156982421877,56.50112915039063
15,-1139.2889404296875,-1252.4600830078125,-1046.496337890625,54.27904891967773
16,-1132.856201171875,-1250.9049072265625,-989.1900634765624,68.02421569824219
17,-1121.6236572265623,-1248.9642333984375,-931.1007080078124,89.8927230834961
18,-1117.5443115234377,-1254.7076416015625,-901.02734375,103.7492446899414
19,-1111.5328369140623,-1253.891845703125,-875.4229125976562,118.79708862304688
20,-1105.8262939453123,-1237.0118408203125,-843.9257202148438,128.65522766113278
21,-1098.9993896484377,-1231.7039794921875,-855.006591796875,127.05422973632812
22,-1084.611328125,-1235.8704833984375,-821.3573608398438,137.81997680664062
23,-1079.6575927734377,-1219.4825439453125,-838.6458129882812,131.63491821289062
24,-1070.7315673828123,-1220.38916015625,-804.6177368164062,138.28099060058594
25,-1053.1549072265623,-1225.97314453125,-777.3713989257812,147.2884979248047
26,-1038.90576171875,-1229.7406005859375,-793.0115966796875,149.9880828857422
27,-1019.1072387695312,-1204.2523193359375,-768.2569580078125,147.34603881835938
28,-1002.6043701171876,-1184.30712890625,-783.3297119140625,139.17266845703122
29,-984.0601806640624,-1152.2701416015625,-796.9835205078125,125.21105194091795
30,-964.3317260742188,-1118.0211181640623,-774.456787109375,122.0085906982422
31,-948.5654907226562,-1106.328125,-792.2554321289062,113.66984558105469
32,-932.2244873046876,-1078.404052734375,-809.0840454101562,104.08821868896484
33,-914.1031494140624,-1072.5841064453123,-788.1957397460938,103.8574447631836
34,-895.8509521484375,-1066.609619140625,-771.9824829101562,107.76319885253906
35,-878.3814086914062,-1050.573974609375,-754.5057373046875,108.70216369628906
36,-866.1316528320312,-1045.904296875,-740.7628784179688,103.86582946777344
37,-854.7933959960938,-1041.323486328125,-720.7875366210938,102.37750244140624
38,-838.61181640625,-1036.693115234375,-701.872314453125,104.58490753173828
39,-822.0528564453125,-1029.5408935546877,-693.5197143554688,103.21646118164062
40,-808.0230712890625,-1025.14013671875,-679.2495727539062,105.2727508544922
41,-794.514892578125,-1015.7569580078124,-662.7200317382812,105.17262268066406
42,-780.3694458007812,-1000.3587036132812,-654.3214721679688,103.66783905029295
43,-766.9713134765625,-988.513916015625,-642.0516967773438,103.19351959228516
44,-754.8806762695312,-975.2106323242188,-635.9384155273438,102.18019104003906
45,-744.8695068359375,-961.199462890625,-640.206787109375,97.70857238769531
46,-733.5899658203125,-945.8648681640624,-629.0556030273438,94.04692840576172
47,-722.1014404296875,-931.2620849609376,-618.3533325195312,92.99344635009766
48,-710.3699951171875,-911.9459838867188,-610.5728149414062,90.31193542480469
49,-699.3513793945312,-895.7620849609375,-603.302490234375,88.02232360839844
50,-690.9193115234375,-880.1598510742188,-593.7291870117188,84.1914291381836
51,-681.0975952148438,-867.6517333984375,-584.4772338867188,82.94287872314453
52,-672.1898803710938,-853.2922973632812,-577.8612060546875,80.65213775634766
53,-663.0835571289062,-841.6453857421875,-569.2725830078125,79.24568176269531
54,-653.3093872070312,-828.2997436523438,-561.0916137695311,77.6778564453125
55,-644.8416137695312,-817.60791015625,-555.2239990234375,76.53934478759766
56,-636.1953125,-807.2872924804688,-550.3656616210939,75.51608276367188
57,-629.4406127929688,-795.1737670898438,-542.8694458007811,72.6881103515625
58,-620.9093627929688,-783.6162719726562,-537.8395385742189,71.22740936279297
59,-613.1146240234375,-772.2911987304688,-532.8526000976561,70.10189056396484
60,-605.63818359375,-761.5345458984375,-525.9356079101561,68.85173034667969
61,-598.2062377929688,-749.061279296875,-522.5499877929689,66.73601531982422
62,-590.6748046875,-738.9290161132812,-516.0426025390625,65.51137542724611
63,-583.2649536132812,-729.1936645507812,-509.8293762207031,64.30623626708984
64,-576.1104125976562,-719.7246704101562,-503.7548828125,63.62826919555664
65,-569.465576171875,-712.2998657226562,-497.7707824707031,62.93564987182617
66,-563.3074951171875,-706.4077758789062,-492.0102844238281,62.89325332641602
67,-557.6353759765625,-697.5792846679688,-487.9702758789063,61.81427001953125
68,-551.8255615234375,-689.0402221679688,-482.5475769042969,60.79497909545898
69,-545.7742309570311,-679.064697265625,-477.3432312011719,59.9811019897461
70,-540.17578125,-671.083740234375,-472.26373291015625,59.00244140625
71,-535.3341674804689,-663.418212890625,-467.26763916015625,58.04799270629883
72,-530.3201904296875,-655.9511108398438,-462.4930725097656,56.62935256958008
73,-524.5457763671875,-648.5471801757812,-457.7771911621094,56.23942184448242
74,-518.8182983398439,-643.0770263671875,-451.5997314453125,56.06471252441406
75,-513.8095092773439,-636.0341796875,-447.24053955078125,55.34830856323242
76,-509.5141296386719,-630.8202514648438,-442.98175048828125,55.30973815917969
77,-504.7369079589844,-622.6554565429688,-440.3999328613281,54.06560516357422
78,-499.9331665039063,-616.2205200195312,-437.9234924316406,52.987060546875
79,-495.37152099609375,-609.9182739257812,-435.3110046386719,52.30097198486328
80,-491.43585205078125,-602.3186645507812,-431.32208251953125,50.9560546875
81,-487.093505859375,-597.6192626953125,-427.46270751953125,50.5252685546875
82,-482.7866821289063,-591.8489990234375,-423.717041015625,50.37044906616211
83,-478.8932495117188,-586.1527709960938,-420.0825500488281,50.02307510375977
84,-475.7447204589844,-581.8833618164062,-416.449951171875,49.49285888671875
85,-471.94677734375,-577.7915649414062,-413.0020751953125,48.87554168701172
86,-468.4923706054688,-573.9124755859375,-411.04046630859375,48.27383804321289
87,-464.6439208984375,-570.0247802734375,-407.6246948242188,47.65572738647461
88,-461.461669921875,-566.4118041992188,-405.6188354492188,47.43092727661133
89,-457.1372985839844,-561.40234375,-401.0679626464844,47.27004623413086
90,-453.7200622558594,-556.5560913085939,-399.21661376953125,46.88107299804688
91,-449.8336486816406,-550.4750366210939,-394.8368225097656,46.09071731567383
92,-446.1414489746094,-545.79443359375,-393.0451049804688,45.39365005493164
93,-443.392578125,-542.5034790039061,-390.1156005859375,45.3924560546875
94,-440.4684753417969,-538.0055541992189,-385.9806213378906,44.81078338623047
95,-437.1982116699219,-533.5992431640625,-385.65130615234375,43.86248016357422
96,-433.9199523925781,-530.4195556640625,-382.8788146972656,43.644039154052734
97,-431.0132751464844,-526.1461181640625,-381.43408203125,43.24909210205078
98,-428.20751953125,-522.0262451171875,-379.97686767578125,42.53398132324219
99,-425.0958557128906,-516.7632446289061,-376.15771484375,41.95490646362305
100,-422.0646667480469,-512.8331298828125,-373.5693359375,41.421180725097656
101,-411.3682861328125,-501.1544494628906,-364.4041748046875,40.24540328979492
102,-400.19921875,-488.3507690429688,-352.622314453125,39.87764739990234
103,-391.044189453125,-475.5928039550781,-336.4024658203125,39.72339630126953
