Step,Value,Min,Max,Error
1,-1217.3092041015625,-1700.5113525390625,-898.5220336914062,251.05706787109372
2,-1206.717529296875,-1447.3343505859375,-943.6124267578124,154.90469360351562
3,-1202.6116943359375,-1475.594482421875,-1003.64697265625,118.34475708007812
4,-1210.282958984375,-1351.5599365234375,-1035.034423828125,92.99322509765624
5,-1217.9886474609375,-1353.918701171875,-1051.64794921875,73.91807556152344
6,-1222.98291015625,-1376.0496826171875,-1062.671142578125,77.5263442993164
7,-1235.219970703125,-1435.4979248046875,-1088.837158203125,81.12994384765625
8,-1229.9747314453125,-1366.9144287109375,-1124.779296875,75.26860809326172
9,-1245.2723388671875,-1380.68408203125,-1101.7694091796877,73.61813354492188
10,-1242.596923828125,-1374.858154296875,-1072.9549560546877,80.83939361572266
11,-1252.338623046875,-1396.6519775390625,-1133.9630126953125,73.37801361083984
12,-1259.8680419921875,-1402.926025390625,-1128.34423828125,71.14722442626953
13,-1269.2791748046875,-1417.7054443359375,-1125.192626953125,73.45097351074219
14,-1281.0281982421875,-1426.1348876953125,-1141.50634765625,74.59683227539062
15,-1295.646484375,-1436.2459716796875,-1155.75146484375,71.26941680908203
16,-1308.744384765625,-1420.287353515625,-1167.2783203125,65.67845153808594
17,-1325.5286865234375,-1433.7322998046875,-1186.283935546875,63.06301879882813
18,-1341.9190673828125,-1448.04833984375,-1209.998046875,61.75257873535156
19,-1355.7860107421875,-1456.248779296875,-1228.2489013671875,61.7252082824707
20,-1368.590087890625,-1470.4150390625,-1255.2572021484375,61.68341827392578
21,-1376.084716796875,-1475.8673095703125,-1269.9560546875,61.36965942382813
22,-1382.728759765625,-1486.3712158203125,-1264.9229736328125,62.43207931518555
23,-1385.676513671875,-1491.790283203125,-1271.791259765625,60.53909301757813
24,-1391.409912109375,-1499.22412109375,-1285.05712890625,61.13008499145508
25,-1393.0115966796875,-1504.1807861328125,-1297.2213134765625,60.47218704223633
26,-1395.9989013671875,-1505.30908203125,-1304.9407958984375,58.27705001831055
27,-1398.17333984375,-1504.4716796875,-1310.5662841796875,56.85433197021485
28,-1400.411865234375,-1507.679931640625,-1317.6556396484375,54.29776000976562
29,-1403.1434326171875,-1511.1304931640625,-1324.888916015625,52.4323844909668
30,-1405.053955078125,-1513.79296875,-1330.9041748046875,51.02850723266602
31,-1403.390625,-1513.1873779296875,-1305.262451171875,54.60304641723633
32,-1403.7406005859375,-1514.514892578125,-1298.5234375,54.26227188110352
33,-1405.2291259765625,-1514.783203125,-1303.8643798828125,53.464637756347656
34,-1406.850830078125,-1513.8681640625,-1306.8134765625,52.65386962890625
35,-1406.7803955078125,-1515.1939697265625,-1312.860107421875,51.574867248535156
36,-1404.46826171875,-1515.1556396484375,-1276.43505859375,56.21606063842773
37,-1405.8531494140625,-1516.575439453125,-1282.4014892578125,54.85017776489258
38,-1405.585205078125,-1515.4954833984375,-1281.9730224609375,53.91476058959961
39,-1405.7100830078125,-1513.2022705078125,-1287.6712646484375,53.13766860961914
40,-1405.719482421875,-1512.362060546875,-1291.322509765625,52.22826385498047
41,-1405.57373046875,-1506.376220703125,-1296.7442626953125,51.04980850219727
42,-1403.204833984375,-1505.26513671875,-1301.3721923828125,49.62609481811523
43,-1401.01513671875,-1504.6246337890625,-1302.9859619140625,52.05105209350586
44,-1399.776611328125,-1503.9219970703125,-1306.6552734375,50.74860763549805
45,-1398.497314453125,-1493.6614990234375,-1307.4949951171875,48.618934631347656
46,-1397.3150634765625,-1491.296875,-1309.5506591796875,47.39385986328125
47,-1393.5384521484375,-1491.911376953125,-1313.57763671875,47.29554748535156
48,-1392.2955322265625,-1484.02685546875,-1312.10693359375,46.48345184326172
49,-1387.8900146484375,-1476.02001953125,-1300.476318359375,46.78718185424805
50,-1384.263916015625,-1468.694580078125,-1300.082763671875,45.77959823608398
51,-1379.9898681640625,-1461.1064453125,-1299.3370361328125,45.32161712646485
52,-1372.14990234375,-1461.746337890625,-1297.411376953125,45.54948425292969
53,-1364.13818359375,-1450.03759765625,-1281.458251953125,45.7238655090332
54,-1359.0789794921875,-1446.0361328125,-1285.6068115234375,44.31448364257813
55,-1356.2154541015625,-1446.939208984375,-1286.2161865234375,44.91204071044922
56,-1351.6868896484375,-1447.7685546875,-1265.6217041015625,45.95048141479492
57,-1343.4361572265625,-1442.1676025390625,-1243.4632568359375,45.73956680297852
58,-1338.323974609375,-1437.904052734375,-1244.4654541015625,44.77224731445313
59,-1335.5543212890625,-1437.2625732421875,-1242.623291015625,43.95775985717773
60,-1332.263671875,-1433.2364501953125,-1246.924560546875,43.09510803222656
61,-1323.8463134765625,-1426.947998046875,-1250.7691650390625,43.38991928100586
62,-1317.1727294921875,-1427.9932861328125,-1234.95166015625,46.53556823730469
63,-1312.6802978515625,-1420.7841796875,-1239.0218505859375,45.83876419067383
64,-1305.099365234375,-1415.7733154296875,-1221.7996826171875,48.07303237915039
65,-1298.6771240234375,-1409.470703125,-1214.8917236328125,48.02897644042969
66,-1289.53271484375,-1388.1697998046875,-1196.6031494140625,49.297607421875
67,-1284.2640380859375,-1385.5928955078125,-1195.7987060546875,50.0452995300293
68,-1277.230712890625,-1379.630859375,-1195.460205078125,52.22856903076172
69,-1270.6693115234375,-1372.4227294921875,-1189.1470947265625,50.18548965454102
70,-1264.058349609375,-1364.6695556640625,-1191.9410400390625,48.43799209594727
71,-1255.001220703125,-1360.5677490234375,-1178.9244384765625,51.68525695800781
72,-1246.02685546875,-1354.9093017578125,-1167.9317626953125,53.44805526733398
73,-1234.9288330078125,-1346.786865234375,-1154.4871826171875,55.36988830566406
74,-1224.67431640625,-1340.85009765625,-1142.365966796875,56.72876358032226
75,-1215.71630859375,-1336.4271240234375,-1128.843017578125,60.204063415527344
76,-1208.3900146484375,-1329.6148681640625,-1117.4744873046877,62.26845932006836
77,-1200.67724609375,-1319.7921142578125,-1108.1536865234377,63.37457656860352
78,-1194.825439453125,-1322.07861328125,-1097.242431640625,66.56510162353516
79,-1188.6988525390625,-1324.289794921875,-1086.671142578125,69.439208984375
80,-1183.326416015625,-1314.4462890625,-1091.7767333984377,69.38011169433594
81,-1174.3023681640625,-1308.38525390625,-1081.3994140625,71.09725189208984
82,-1165.0811767578125,-1300.6514892578125,-1071.5849609375,72.78665161132812
83,-1158.8441162109375,-1293.107421875,-1059.7255859375,71.86868286132812
84,-1152.0513916015625,-1285.692138671875,-1051.7652587890623,73.3255615234375
85,-1145.681396484375,-1279.8763427734375,-1043.959716796875,72.39550018310547
86,-1136.2781982421875,-1272.7847900390625,-1031.832763671875,73.48591613769531
87,-1127.8258056640625,-1265.8260498046875,-1019.9876708984376,74.07197570800781
88,-1120.04150390625,-1257.5458984375,-1009.9522094726562,74.86278533935547
89,-1111.83984375,-1249.4949951171875,-1003.96142578125,74.9859390258789
90,-1102.268310546875,-1240.2142333984375,-996.9282836914062,75.51461029052734
91,-1093.0086669921877,-1230.473876953125,-986.00048828125,76.6525650024414
92,-1084.903564453125,-1220.1375732421875,-976.69970703125,76.59540557861328
93,-1077.9849853515623,-1210.018310546875,-967.66650390625,75.81941986083984
94,-1070.6285400390623,-1198.7177734375,-961.2618408203124,75.8038101196289
95,-1062.96630859375,-1189.9188232421875,-953.910888671875,76.02802276611328
96,-1055.3497314453123,-1182.787353515625,-947.7408447265624,75.48657989501953
97,-1048.6456298828123,-1178.88134765625,-940.4267578125,75.4132308959961
98,-1041.866455078125,-1173.1090087890625,-932.094970703125,76.3929443359375
99,-1033.885009765625,-1169.0556640625,-923.9703979492188,76.51455688476562
100,-1025.890625,-1165.097412109375,-916.0347900390624,76.81400299072266
101,-1017.04541015625,-1154.5941162109375,-902.6370849609376,77.51415252685547
102,-1008.738037109375,-1151.5936279296875,-892.2160034179688,78.97577667236328
103,-999.4658813476562,-1141.710693359375,-884.0619506835938,80.02024841308594
104,-990.8560180664062,-1138.4027099609375,-873.3160400390625,80.24679565429688
105,-981.7018432617188,-1131.177001953125,-863.2116088867188,80.13335418701172
106,-971.4741821289062,-1121.6162109375,-853.7951049804688,80.83221435546875
107,-961.2528076171876,-1108.9891357421877,-838.5618286132812,81.22522735595703
108,-952.6795654296876,-1105.4715576171877,-822.9720458984375,81.17631530761719
109,-941.8926391601562,-1094.478515625,-814.1594848632812,81.63740539550781
110,-933.4857177734376,-1085.833740234375,-805.2357788085938,81.1258316040039
111,-922.2117309570312,-1077.873779296875,-795.3610229492188,80.86341094970703
112,-911.8132934570312,-1071.541015625,-782.8306884765625,82.74007415771484
113,-900.1781616210938,-1062.0255126953123,-767.9257202148438,82.85896301269531
114,-888.9013061523438,-1049.8306884765623,-753.82763671875,83.62205505371094
115,-877.0604858398438,-1038.5498046875,-742.78662109375,85.6650161743164
116,-864.01171875,-1028.2816162109377,-727.137451171875,86.47447204589844
117,-850.36865234375,-1019.82421875,-712.46435546875,87.85257720947266
118,-837.6422729492188,-1004.533447265625,-698.9183349609375,89.18985748291016
119,-824.4046020507812,-992.2677612304688,-683.9114379882812,88.62545776367188
120,-809.7815551757812,-976.4151611328124,-667.8851318359375,88.39649200439453
121,-796.40673828125,-963.40380859375,-653.4317626953125,88.59529876708984
122,-783.0341186523438,-948.9659423828124,-641.7118530273438,87.74610137939453
123,-770.9296264648438,-934.3036499023438,-628.16357421875,87.62865447998047
124,-758.5782470703125,-916.6234741210938,-615.2969360351562,86.27568817138672
125,-746.5206909179688,-903.7191772460938,-603.4888916015625,86.85356140136719
126,-733.9848022460938,-889.967529296875,-590.8900756835938,86.46868133544922
127,-721.8869018554688,-877.4228515625,-577.3182983398438,87.3998031616211
128,-710.2203369140625,-868.266357421875,-564.740966796875,88.21405029296875
129,-697.9163818359375,-857.5278930664062,-551.3547973632811,89.52623748779297
130,-686.9255981445312,-844.110107421875,-540.5116577148439,90.4079818725586
131,-675.151123046875,-830.4347534179688,-526.979736328125,89.89940643310547
132,-663.3831787109375,-819.4501953125,-513.4403686523439,90.2633056640625
133,-651.00634765625,-808.1298217773438,-499.2114868164063,90.43321228027344
134,-638.741455078125,-795.712890625,-485.6280822753906,91.77664947509766
135,-626.4437866210938,-782.8003540039062,-471.96002197265625,91.65728759765624
136,-615.3506469726562,-771.9205322265625,-458.1922302246094,91.17697143554688
137,-602.1505737304688,-760.7311401367188,-445.62701416015625,91.15933990478516
138,-590.2717895507812,-748.2026977539062,-433.3773498535156,91.23316955566406
139,-577.8414916992188,-734.5545654296875,-421.0018615722656,91.38824462890624
