Wall time,Step,Value
1554987825.6832,1,100.203247070313
,1,-1.0082244873047
1554987825.88489,2,91.008918762207
,2,9.994400024414
1554987826.11295,3,76.3115787506104
,3,13.9679851531982
1554987826.32402,4,73.0478363037109
,4,14.4523391723633
1554987826.54153,5,68.3756790161133
,5,13.8158798217773
1554987826.768,6,66.2013778686524
,6,12.302375793457
1554987826.97935,7,64.3787479400634
,7,14.6147594451904
1554987827.17933,8,65.6798133850098
,8,17.5969505310058
1554987827.41556,9,62.227876663208
,9,17.1909160614014
1554987830.61264,10,62.6999912261963
,10,15.5986385345459
1554987830.89838,11,62.4746761322022
,11,18.0598239898682
1554987831.30007,12,61.1420364379883
,12,19.5621032714843
1554987832.1304,13,58.765905380249
,13,20.4459323883056
1554987834.30091,14,58.0874977111817
,14,20.7366371154785
1554987837.46738,15,56.6894283294677
,15,21.9704761505127
1554987840.60408,16,56.917423248291
,16,21.8942375183106
1554987844.08986,17,55.8629026412964
,17,24.1820878982544
1554987848.26416,18,55.2376909255981
,18,23.3525648117065
1554987852.13627,19,56.2002716064453
,19,22.7832717895507
1554987859.00702,20,56.903751373291
,20,23.0527534484864
1554987862.74768,21,56.7829456329346
,21,23.0228786468506
1554987865.97585,22,57.346534729004
,22,23.9814224243164
1554987870.21994,23,57.0823650360107
,23,24.2934741973877
1554987873.68195,24,57.480411529541
,24,25.128360748291
1554987877.37441,25,58.431589126587
,25,25.239652633667
1554987881.63952,26,58.0761909484864
,26,25.6037712097168
1554987885.68743,27,58.1606330871582
,27,25.2436332702636
1554987889.27934,28,58.3406982421875
,28,25.7594680786133
1554987892.67902,29,59.0371513366699
,29,26.3864555358887
1554987899.28372,30,59.1378803253174
,30,27.0262126922608
1554987903.20164,31,59.2087669372559
,31,26.9927482604981
1554987906.89971,32,59.7453489303589
,32,27.8227663040161
1554987910.7014,33,60.0163125991821
,33,28.5068807601929
1554987913.74718,34,60.6676626205444
,34,29.2187356948852
1554987917.2412,35,61.0487232208252
,35,29.4105892181396
1554987920.66203,36,60.9712829589844
,36,30.070068359375
1554987924.07564,37,61.1920061111451
,37,30.4432783126831
1554987927.24877,38,61.8800058364868
,38,30.5925359725952
1554987930.42123,39,62.4432611465454
,39,31.0873022079468
1554987936.01508,40,62.9450092315674
,40,31.9541683197022
1554987939.35236,41,63.2566394805909
,41,32.2976589202881
1554987942.39688,42,63.5571279525757
,42,32.9322900772095
1554987945.59421,43,63.9718961715698
,43,33.388653755188
1554987948.74242,44,64.0361633300782
,44,33.9090042114258
1554987952.38279,45,64.3088474273682
,45,34.064374923706
1554987955.21819,46,64.8770256042481
,46,34.5615501403809
1554987958.22744,47,65.1809501647949
,47,35.4262199401855
1554987961.04169,48,65.5356826782227
,48,36.2082824707031
1554987964.02815,49,65.7725343704224
,49,36.848780632019
1554987969.91729,50,65.536093711853
,50,37.5402307510376
1554987972.62139,51,66.1490211486816
,51,37.9890937805176
1554987975.86627,52,66.2390956878662
,52,38.778673171997
1554987978.75862,53,66.4565706253052
,53,39.091341972351
1554987981.59592,54,66.7465047836303
,54,39.7105646133423
1554987983.91377,55,67.003378868103
,55,40.287896156311
1554987987.00075,56,67.1235151290894
,56,40.7376222610474
1554987989.379,57,67.4431638717651
,57,41.2521715164185
1554987991.84698,58,67.6636562347412
,58,41.8722476959228
1554987993.65439,59,67.976993560791
,59,42.6256523132324
1554987998.90264,60,68.1798496246338
,60,43.1773509979248
1554988001.13298,61,68.4670038223267
,61,43.8548269271851
1554988003.49936,62,68.775544166565
,62,44.4865560531616
1554988006.1037,63,68.8714752197266
,63,45.0561904907226
1554988008.03859,64,69.1494827270508
,64,45.7020568847656
1554988010.02724,65,69.4139995574951
,65,46.3388385772705
1554988012.24081,66,69.6251411437989
,66,46.9174156188965
1554988014.24731,67,69.8340454101562
,67,47.5076751708984
1554988016.53488,68,70.0344247817993
,68,48.0038213729859
1554988018.455,69,70.268367767334
,69,48.5653038024902
1554988023.10175,70,70.4755935668945
,70,49.0013275146485
1554988025.13392,71,70.7240896224975
,71,49.4921197891235
1554988027.16231,72,70.9463386535645
,72,49.9676399230957
1554988029.32101,73,70.8827562332154
,73,50.5128507614136
1554988031.35758,74,71.0840797424317
,74,50.9818000793457
1554988033.70496,75,71.2386827468873
,75,51.3669538497925
1554988035.49926,76,71.4063396453857
,76,51.8460941314697
1554988037.72137,77,71.4607238769531
,77,52.2297286987305
1554988039.46557,78,71.6426010131836
,78,52.6945114135742
1554988041.06421,79,71.7559442520142
,79,53.077223777771
1554988044.30848,80,71.9556074142456
,80,53.4989824295044
1554988046.04569,81,72.1435270309448
,81,53.86851978302
1554988047.71214,82,72.3165149688721
,82,54.2617931365967
1554988049.3439,83,72.4283409118653
,83,54.6725196838379
1554988050.95745,84,72.5738410949707
,84,55.0712852478027
1554988052.94998,85,72.7060852050782
,85,55.3877410888672
1554988054.72604,86,72.7904472351074
,86,55.6628761291504
1554988056.55691,87,72.9261264801025
,87,55.9699306488037
1554988058.31965,88,73.0767850875855
,88,56.3152894973755
1554988060.04869,89,73.2277946472168
,89,56.6235084533692
1554988062.59066,90,73.422721862793
,90,56.9817733764648
1554988064.39731,91,73.5700693130493
,91,57.1264333724975
1554988065.98947,92,73.7229738235474
,92,57.414797782898
1554988067.76915,93,73.8846988677979
,93,57.5356960296631
1554988069.24949,94,74.0351734161377
,94,57.8310375213623
1554988070.87812,95,74.1622867584228
,95,57.9637966156006
1554988072.58154,96,74.2838220596313
,96,58.1986150741577
1554988074.21817,97,74.4152011871338
,97,58.4532222747802
1554988076.17798,98,74.4512248039246
,98,58.5902333259583
1554988077.75424,99,74.5825333595276
,99,58.8311324119568
1554988080.71663,100,74.6670489311218
,100,59.041172504425
1554988082.54831,101,74.828899383545
,101,59.5296669006348
1554988084.11755,102,75.0301847457886
,102,59.9829988479614
1554988085.8248,103,75.4656648635864
,103,60.5152463912964
1554988087.34547,104,75.9901728630066
,104,60.8830723762512
1554988088.70279,105,76.2938976287842
,105,61.5786609649658
1554988090.22368,106,76.7252407073975
,106,62.1281070709229
1554988091.79242,107,77.3884239196778
,107,62.2228889465332
1554988093.33839,108,77.6479640007019
,108,62.3882298469543
1554988094.6503,109,78.462209224701
,109,62.8323006629944
1554988097.17918,110,78.8981466293335
,110,63.2749643325805
1554988098.90226,111,79.2200021743775
,111,63.5635824203491
1554988100.48196,112,79.6841988563538
,112,63.930730342865
1554988102.19181,113,80.0637459754944
,113,64.4634146690368
1554988104.00844,114,80.5599899291992
,114,64.599723815918
1554988105.58982,115,81.1053619384766
,115,64.9518432617188
1554988107.28471,116,81.3397622108459
,116,65.5556540489197
1554988108.8101,117,81.5202436447144
,117,66.0346879959107
1554988110.06764,118,81.9518213272095
,118,66.7944097518921
1554988111.65938,119,82.2314682006836
,119,67.1921310424804
1554988114.19014,120,82.6452088356018
,120,67.30300283432
1554988115.61715,121,83.0916566848755
,121,67.7761564254761
1554988117.6173,122,83.1297721862793
,122,68.1702613830567
1554988118.96652,123,83.5994286537171
,123,68.5825781822205
1554988120.68656,124,83.8861036300659
,124,68.8084459304809
1554988122.16337,125,84.1767725944519
,125,69.1215367317199
1554988123.59544,126,84.673595905304
,126,69.4784426689148
1554988125.10772,127,85.2190957069397
,127,69.8376364707947
1554988126.67086,128,85.4773941040039
,128,70.2100906372071
1554988128.16772,129,85.6379299163819
,129,70.4856815338135
1554988130.43013,130,86.0172572135925
,130,70.5970005989075
1554988132.08688,131,86.2703313827514
,131,70.9946222305298
1554988133.83202,132,86.7077927589417
,132,70.7687697410583
1554988134.9978,133,86.8734970092773
,133,71.1614303588867
1554988136.61698,134,87.0072689056396
,134,71.32297706604
1554988138.22297,135,87.2876000404358
,135,71.590512752533
1554988139.69574,136,87.5210800170899
,136,71.909782409668
1554988141.43175,137,87.6406168937683
,137,72.1657032966613
1554988143.00148,138,88.0391092300415
,138,72.0691061019897
1554988144.56034,139,88.3678207397461
,139,72.0700912475586
1554988146.70657,140,88.7310829162598
,140,71.8075218200684
1554988148.10564,141,88.9785995483399
,141,72.0443801879883
1554988149.7944,142,89.2827615737915
,142,71.9214925765991
1554988151.0959,143,89.5965347290039
,143,71.8589706420899
1554988152.54182,144,89.7385787963867
,144,72.0679397583007
1554988153.98962,145,89.9975175857544
,145,72.3319654464722
1554988155.19896,146,90.1659603118897
,146,72.4161472320557
1554988156.75324,147,90.3986682891846
,147,72.1742839813232
1554988158.09362,148,90.6904973983764
,148,71.9241724014282
1554988159.90951,149,90.8871402740479
,149,71.6604061126709
1554988162.32769,150,91.3106660842895
,150,71.5295896530151
1554988163.6117,151,91.4368085861207
,151,71.4524278640748
1554988164.95698,152,91.8079137802124
,152,71.1695337295532
1554988166.72109,153,92.1824264526367
,153,70.9622116088867
1554988168.2113,154,92.4918909072876
,154,70.6812047958374
1554988169.65748,155,92.6313571929932
,155,70.7095546722412
1554988170.92237,156,92.8469781875611
,156,70.8389501571655
1554988172.38376,157,92.9717512130738
,157,70.8530321121216
1554988173.69805,158,93.0835819244385
,158,70.8718776702881
1554988175.00017,159,93.0318984985352
,159,70.9216537475586
1554988177.39855,160,93.0904626846313
,160,70.8577337265015
1554988178.65932,161,93.1289396286011
,161,70.8469209671021
1554988179.90809,162,93.1378202438355
,162,70.8460969924927
1554988181.26922,163,93.1896257400512
,163,70.8415479660034
1554988182.50917,164,93.2214307785034
,164,70.8058214187622
1554988183.84303,165,93.2156820297241
,165,70.7874307632447
1554988185.25928,166,93.2538480758667
,166,70.6411409378051
1554988186.47368,167,93.2306213378906
,167,70.6951141357422
1554988188.03807,168,93.1955318450928
,168,70.7352390289306
1554988189.15535,169,93.1772012710571
,169,70.7709341049195
1554988191.16699,170,93.2414388656616
,170,70.764817237854
1554988192.59205,171,93.2032337188721
,171,70.7566661834717
1554988193.87952,172,93.2308168411255
,172,70.7369871139527
1554988195.06762,173,93.3391799926758
,173,70.8031692504882
1554988196.39025,174,93.4165849685669
,174,70.6157941818237
1554988197.45613,175,93.4577054977417
,175,70.7029848098755
1554988198.67209,176,93.4720668792725
,176,70.6949253082275
1554988200.05066,177,93.5207185745239
,177,70.7702054977417
1554988201.02724,178,93.5503406524658
,178,70.778944015503
1554988202.3455,179,93.7036247253418
,179,70.5948219299316
1554988204.43967,180,93.8046779632569
,180,70.3352451324463
1554988205.58482,181,93.8175086975098
,181,70.3624992370606
1554988206.57617,182,93.8411989212036
,182,70.379168510437
1554988207.57085,183,93.8767642974853
,183,70.4280757904053
1554988208.7145,184,93.8970375061035
,184,70.4272727966309
1554988209.59672,185,93.9334192276001
,185,70.5423192977905
1554988210.67753,186,93.9717817306519
,186,70.6701860427857
1554988211.82442,187,93.9859199523926
,187,70.7464561462402
1554988212.73539,188,94.0143203735351
,188,70.8000411987305
1554988213.68199,189,94.0345935821533
,189,70.8693065643311
1554988215.4135,190,93.9704370498657
,190,70.8885412216187
1554988216.38427,191,94.0095510482788
,191,71.07559299469
1554988217.52737,192,94.0136060714722
,192,71.1098833084106
1554988218.46893,193,94.1193618774414
,193,71.2353744506836
1554988219.34664,194,94.1067628860473
,194,71.3225431442261
1554988220.21487,195,94.1338272094727
,195,71.5327987670899
1554988221.17173,196,94.1466722488403
,196,71.6440076828003
1554988222.0405,197,94.1628198623657
,197,71.7359075546265
1554988222.99716,198,94.0442523956299
,198,72.1524639129639
1554988223.94985,199,94.0469646453858
,199,72.2460803985596
1554988225.21232,200,94.086196899414
,200,72.40283203125
1554988225.90382,201,94.1056203842163
,201,72.5888071060181
1554988226.7232,202,94.1011238098145
,202,72.7308006286621
1554988227.52711,203,94.1132669448852
,203,72.8787832260132
1554988228.34476,204,94.1070327758789
,204,73.0134353637695
1554988229.23885,205,93.9286499023438
,205,73.3895874023438
1554988230.02184,206,93.7915782928466
,206,73.771577835083
1554988230.79114,207,93.8287115097046
,207,73.9794549942016
1554988231.64051,208,93.6867656707763
,208,74.3869342803955
1554988232.60009,209,93.6912870407104
,209,74.425518989563
1554988233.90741,210,93.5708818435669
,210,74.7977705001831
1554988234.72697,211,93.5740718841553
,211,74.9737796783447
1554988235.5058,212,93.5720558166504
,212,75.1437034606934
1554988236.36034,213,93.4555616378784
,213,75.5458879470825
1554988237.07122,214,93.4082670211793
,214,76.0564546585084
1554988237.85536,215,93.4293193817138
,215,76.1975574493408
1554988238.63324,216,93.4280920028687
,216,76.3863000869751
1554988239.4379,217,93.4207525253296
,217,76.5606317520142
1554988240.37018,218,93.4101190567016
,218,76.6476049423218
1554988241.26278,219,93.2817659378052
,219,77.0486326217652
1554988242.6271,220,93.2060222625733
,220,77.4280109405518
1554988243.45097,221,93.2441701889038
,221,77.5190744400024
1554988244.22833,222,93.2807841300964
,222,77.740562915802
1554988245.03386,223,93.2943692207337
,223,77.8395113945007
1554988245.74194,224,93.3531765937805
,224,77.9927401542663
1554988246.45629,225,93.3871803283691
,225,78.0985221862793
1554988247.19028,226,93.4247026443481
,226,78.2051801681519
1554988247.93564,227,93.4348578453064
,227,78.3619713783264
1554988248.73323,228,93.4407472610474
,228,78.5076780319214
1554988249.46394,229,93.4187088012695
,229,78.7044601440429
1554988250.5852,230,93.2544474601745
,230,79.1434712409973
1554988251.38283,231,93.0933909416199
,231,79.6054463386536
1554988252.08259,232,93.0116057395935
,232,80.0199189186097
1554988252.83172,233,93.0249466896058
,233,80.0842604637147
1554988253.59587,234,92.9916205406189
,234,80.2972130775451
1554988254.31736,235,93.0120425224304
,235,80.469738483429
1554988255.05374,236,92.9719953536987
,236,80.6753740310669
1554988255.76174,237,92.846483707428
,237,81.1291174888611
1554988256.5116,238,92.7655000686646
,238,81.5096311569214
1554988257.31599,239,92.7170481681824
,239,81.710533618927
1554988258.49361,240,92.622058391571
,240,82.0574917793274
1554988259.23115,241,92.6705718040467
,241,82.1460175514222
1554988259.84191,242,92.6303734779358
,242,82.5122199058533
1554988260.58448,243,92.5826783180237
,243,82.8050169944763
1554988261.32151,244,92.4115834236145
,244,83.2305521965027
1554988262.05162,245,92.4072198867798
,245,83.3776006698608
1554988262.78772,246,92.4211511611939
,246,83.4669713973999
1554988263.41024,247,92.4517936706543
,247,83.7545661926269
1554988264.10807,248,92.4997954368591
,248,83.9565186500549
1554988264.81514,249,92.3647575378418
,249,84.547565460205
1554988266.01552,250,92.4522709846496
,250,84.7440333366394
1554988266.80464,251,92.2557284832001
,251,85.1485073566437
1554988267.52461,252,92.3553307056427
,252,85.2974097728729
1554988268.25201,253,92.5048360824585
,253,85.4899911880493
1554988268.95429,254,92.6858866214752
,254,85.5763356685638
1554988269.67733,255,92.6871376037598
,255,85.7252006530762
1554988270.4307,256,92.6885092258453
,256,85.8166635036469
1554988271.20979,257,92.6531341075897
,257,85.9869110584259
1554988271.88802,258,92.6505899429322
,258,86.1347951889038
1554988272.57997,259,92.6388108730316
,259,86.26659989357
1554988273.65186,260,92.5045764446258
,260,86.6967480182648
1554988274.37172,261,92.4554979801179
,261,86.8525311946869
1554988275.02789,262,92.4450566768646
,262,86.9963190555572
1554988275.67621,263,92.3234925270081
,263,87.3669829368591
1554988276.31603,264,92.330314874649
,264,87.4881513118744
1554988276.94314,265,92.3794145584107
,265,87.5789289474487
1554988277.70941,266,92.2940611839294
,266,87.9255738258362
1554988278.42587,267,92.3283302783966
,267,88.0062034130096
1554988279.15037,268,92.3595755100251
,268,88.1558816432953
1554988279.83381,269,92.3643529415131
,269,88.2501795291901
1554988280.92193,270,92.4182574748993
,270,88.3388378620147
1554988281.5316,271,92.4578541517258
,271,88.4859019517898
1554988282.19191,272,92.4901226758957
,272,88.5953875780105
1554988282.85906,273,92.5365525484085
,273,88.6579207181931
1554988283.61656,274,92.5304259061813
,274,88.8993684053421
1554988284.32851,275,92.570871591568
,275,88.9516198635102
1554988284.98718,276,92.5774707794189
,276,89.0708293914795
1554988285.616,277,92.619701385498
,277,89.189380645752
1554988286.33284,278,92.6426148414612
,278,89.2313933372498
1554988286.97622,279,92.7465664148331
,279,89.3685001134873
1554988287.94401,280,92.9190529584885
,280,89.4638053178787
1554988288.69863,281,92.9365832805634
,281,89.5281689167023
1554988289.33998,282,92.9837526082993
,282,89.5623747110367
1554988289.96816,283,93.0180886983872
,283,89.6038748025894
1554988290.66224,284,93.0784704685212
,284,89.6366937160492
1554988291.34407,285,93.089905500412
,285,89.6654198169708
1554988291.9578,286,93.075385928154
,286,89.777397274971
1554988292.57625,287,93.0885692834854
,287,89.8607105016708
1554988293.29109,288,93.1037698984146
,288,89.8730367422104
1554988293.89795,289,93.1295539140702
,289,89.9157341718674
1554988294.90938,290,93.1437059640885
,290,90.0056012868881
1554988295.51319,291,93.1687932014466
,291,90.0451045036316
1554988296.25906,292,93.1995972394943
,292,90.1066924333573
1554988296.96817,293,93.2087604999542
,293,90.1271464824676
1554988297.63802,294,93.2164727449417
,294,90.1644018888473
1554988298.29879,295,93.2380923032761
,295,90.1955929994583
1554988299.01003,296,93.2320934534073
,296,90.2598956823349
1554988299.6586,297,93.2490842342377
,297,90.2837526798249
1554988300.24535,298,93.2698608636856
,298,90.3275359869004
1554988300.90958,299,93.2878721952439
,299,90.3670808076859
1554988302.20894,300,93.3588000535966
,300,90.2211560010911
