Step,Value
42,-6.80464792251587
45,-7.1300163269043
71,-7.45607566833496
94,-6.81785011291504
167,-8.99643898010254
229,-9.02814960479736
234,-9.78458786010742
255,-9.47870922088623
273,-10.1896638870239
308,-11.1385116577148
310,-10.7284107208252
318,-11.4983367919922
474,-13.4913330078125
536,-14.5224094390869
579,-15.4515590667725
586,-15.2144718170166
634,-17.1543064117432
647,-15.6504898071289
671,-18.0206279754639
714,-17.0549774169922
722,-17.3818206787109
785,-19.5239295959473
802,-19.9510669708252
808,-19.3116569519043
836,-19.7025604248047
971,-23.5740242004395
1014,-23.7516632080078
1066,-25.1719665527344
1104,-25.5636768341064
1180,-27.7952175140381
1261,-27.8931884765625
1316,-30.3085250854492
1319,-28.8912925720215
1333,-30.7442359924316
1337,-29.8944034576416
1385,-31.9550533294678
1392,-32.1973419189453
1436,-32.500114440918
1466,-33.3518676757812
1523,-33.2512969970703
1552,-34.0192794799805
1568,-35.5349502563477
1584,-36.3246994018555
1691,-38.5052680969238
1734,-38.1143951416016
1737,-39.8352203369141
1844,-41.7623748779297
1866,-41.0747451782227
1877,-41.0873641967774
1917,-42.8378143310547
1934,-41.5792465209961
1947,-43.6539726257324
2036,-42.6054840087891
2096,-46.8117637634277
2187,-47.6433639526367
2199,-48.5933227539063
2231,-49.5290298461914
2237,-50.4318923950195
2262,-49.3895034790039
2307,-47.4665031433105
2389,-50.0869064331055
2436,-51.7378273010254
2453,-53.4832992553711
2455,-52.0905685424805
2460,-52.4068717956543
2485,-52.6801223754883
2486,-51.9112243652344
2498,-52.2960624694824
2503,-53.4388618469238
2532,-54.7403259277344
2547,-53.2621307373047
2553,-54.2012710571289
2685,-57.9580497741699
2740,-59.8295440673828
2967,-63.8665008544922
3038,-67.0000457763672
3041,-65.5969543457031
3099,-65.4302673339844
3161,-69.1233978271484
3230,-69.2400283813477
3244,-70.5657653808594
3246,-71.6259613037109
3247,-71.6847991943359
3305,-72.533088684082
3480,-77.0640640258789
3618,-79.8579025268555
3620,-80.4090576171875
3670,-78.3728485107422
3741,-84.1654205322266
3793,-80.9537048339844
3814,-83.5346984863281
3821,-83.7425079345703
3928,-85.7469329833984
3956,-85.9698867797852
3984,-87.0796661376953
4036,-90.2722473144531
4098,-88.9325103759766
4196,-93.4670181274414
4227,-94.9823455810547
4232,-93.6406402587891
4317,-95.9510803222656
4319,-97.1104736328125
4400,-96.4811096191406
4492,-97.8547821044922
4509,-103.105155944824
4530,-99.4766693115234
4664,-105.041015625
4668,-104.463447570801
4676,-105.705688476563
4788,-105.774185180664
4802,-108.432891845703
4840,-110.18480682373
4852,-110.741172790527
4894,-110.195861816406
4971,-110.264343261719
5050,-113.382293701172
5052,-115.495483398438
5106,-114.007553100586
5134,-114.572280883789
5239,-117.613395690918
5345,-122.728866577148
5359,-123.822929382324
5420,-121.272033691406
5549,-128.882125854492
5679,-129.615447998047
5723,-135.540817260742
5808,-134.608184814453
5828,-135.218719482422
5864,-136.187042236328
5871,-134.693710327148
5907,-136.6748046875
5928,-135.503570556641
5990,-139.630157470703
6010,-140.031280517578
6121,-138.811828613281
6131,-139.657958984375
6200,-143.099304199219
6213,-146.118560791016
6219,-142.546417236328
6232,-145.177429199219
6289,-146.252578735352
6312,-146.826568603516
6376,-148.597076416016
6520,-148.241088867188
6574,-155.849273681641
6603,-156.149627685547
6657,-155.240753173828
6696,-158.719543457031
6699,-157.869232177734
6711,-156.515716552734
6742,-157.038757324219
6854,-159.527740478516
6966,-168.618789672852
6992,-165.05517578125
7106,-168.55224609375
7114,-166.407928466797
7155,-169.009490966797
7247,-168.095397949219
7311,-175.724578857422
7359,-176.078979492188
7382,-175.379104614258
7450,-176.357360839844
7460,-176.664306640625
7463,-178.105834960938
7478,-176.256622314453
7511,-179.427474975586
7693,-186.034545898438
7760,-186.741363525391
7788,-186.66943359375
7798,-185.742034912109
7833,-191.209991455078
7991,-191.915710449219
8066,-196.431213378906
8180,-196.096893310547
8221,-196.400085449219
8334,-196.628265380859
8363,-197.333084106445
8368,-204.969360351562
8377,-202.095764160156
8467,-203.76953125
8470,-199.962051391602
8498,-200.852767944336
8508,-201.571685791016
8601,-207.945159912109
8635,-205.430892944336
8695,-208.610610961914
8819,-213.044357299805
8878,-211.859771728516
8904,-212.48583984375
8907,-213.485595703125
8928,-213.003311157227
8935,-215.022918701172
8993,-214.904098510742
8999,-212.494979858398
9055,-216.306701660156
9260,-217.418273925781
9316,-216.511566162109
9348,-222.982879638672
9435,-230.616775512695
9468,-231.076797485352
9547,-230.730712890625
9554,-229.532119750977
9567,-229.26448059082
9627,-230.213897705078
9657,-234.420166015625
9680,-234.181488037109
9698,-232.427932739258
9843,-232.286727905273
9907,-235.91650390625
10058,-236.138610839844
10084,-240.564056396484
10276,-244.417816162109
10283,-247.154541015625
10396,-247.408935546875
10399,-251.973419189453
10420,-250.428833007813
10479,-250.352554321289
10522,-247.833557128906
10607,-251.304992675781
10638,-255.015686035156
10654,-254.432830810547
10671,-255.488098144531
10711,-249.177780151367
10757,-259.747406005859
10758,-252.856018066406
10780,-252.296813964844
10815,-260.461791992187
10841,-259.665710449219
10850,-258.896728515625
10902,-256.474426269531
10905,-262.999176025391
10939,-264.890228271484
10943,-261.883758544922
10966,-261.311096191406
10972,-261.377960205078
10974,-260.268524169922
11020,-261.479644775391
11102,-259.417419433594
11121,-263.944213867188
11130,-267.943756103516
11198,-264.932739257812
11200,-270.785552978516
11260,-268.430328369141
11419,-271.922821044922
11472,-274.802673339844
11492,-274.386688232422
11523,-273.125610351562
11532,-273.766021728516
11549,-270.731323242188
11566,-276.742767333984
11648,-281.762390136719
11671,-280.164306640625
11685,-274.915649414062
11759,-281.188812255859
11873,-283.538452148438
11969,-283.762786865234
11974,-284.790588378906
12010,-283.582458496094
12041,-287.854064941406
12138,-286.532867431641
12164,-294.657348632813
12168,-290.356811523437
12184,-294.988891601563
12226,-295.560119628906
12290,-288.189544677734
12293,-293.69677734375
12309,-285.580230712891
12405,-292.835205078125
12458,-299.788116455078
12553,-297.656494140625
12671,-301.263854980469
12699,-299.632781982422
12805,-303.648620605469
12877,-300.340911865234
12939,-301.630126953125
13017,-306.992431640625
13034,-301.550903320312
13061,-310.94140625
13082,-311.990875244141
13094,-309.1181640625
13109,-305.503173828125
13166,-309.856170654297
13206,-307.415161132812
13239,-309.601501464844
13349,-310.422302246094
13402,-317.018768310547
13406,-310.145385742187
13426,-313.471435546875
13504,-313.562805175781
13546,-310.912780761719
13597,-316.283966064453
13620,-324.528381347656
13679,-321.435668945312
13682,-320.731018066406
13776,-324.973083496094
13810,-326.874359130859
13845,-323.689178466797
13884,-326.73974609375
13976,-318.810363769531
13998,-325.902801513672
14080,-317.291564941406
14221,-333.794311523437
14287,-325.892272949219
14294,-331.1015625
14303,-329.600769042969
14320,-329.817077636719
14332,-335.183349609375
14338,-325.98779296875
14397,-331.088226318359
14447,-333.502716064453
14494,-332.163452148438
14557,-336.321868896484
14632,-338.28076171875
14638,-335.143005371094
14668,-341.805816650391
14677,-334.250366210937
14687,-348.431732177734
14779,-350.115356445312
14788,-333.845977783203
14792,-346.410705566406
14809,-333.622619628906
14873,-347.313354492187
14892,-339.622894287109
15027,-354.856140136719
15090,-355.154571533203
15136,-358.938842773437
15180,-360.169555664062
15266,-352.439331054688
15324,-355.995178222656
15473,-356.432373046875
15475,-355.576477050781
15507,-358.844360351562
15538,-353.909698486328
15597,-360.415924072266
15740,-368.076568603516
15764,-363.175750732422
15773,-381.399078369141
15828,-369.254516601563
15979,-368.266632080078
15993,-367.731262207031
16095,-374.871032714844
16116,-370.186126708984
16249,-386.868316650391
16321,-392.608184814453
16343,-387.391510009766
16360,-375.975158691406
16406,-374.79638671875
16440,-374.12939453125
16505,-373.937622070313
16585,-385.636657714844
16661,-380.474182128906
16697,-397.373596191406
16808,-386.012634277344
16809,-384.968688964844
16843,-391.101135253906
16857,-387.861083984375
16899,-396.071838378906
17066,-404.554077148438
17097,-390.953765869141
17131,-404.669128417969
17239,-407.549957275391
17272,-408.953491210938
17290,-404.678466796875
17292,-415.0478515625
17316,-401.028442382813
17317,-395.098876953125
17320,-397.064361572266
17339,-393.953277587891
17374,-397.435180664062
17405,-399.731323242188
17444,-404.767669677734
17454,-389.309509277344
17543,-408.712097167969
17557,-396.213623046875
17586,-421.573394775391
17594,-392.025939941406
17623,-400.749877929688
17722,-412.504028320313
17953,-422.660827636719
17981,-404.737365722656
17990,-408.848297119141
18018,-431.808837890625
18053,-423.887329101563
18065,-403.498718261719
18129,-410.284942626953
18264,-420.819244384766
18318,-433.587493896484
18451,-420.723876953125
18452,-418.35595703125
18592,-431.542297363281
18713,-437.144958496094
18720,-432.138061523438
18845,-431.93115234375
18958,-456.629577636719
18977,-440.295837402344
19005,-431.666656494141
19027,-430.876068115234
19048,-431.256896972656
19116,-449.056243896484
19169,-445.902404785156
19227,-446.991027832031
19271,-434.572692871094
19485,-447.470001220703
19503,-469.106994628906
19525,-442.939483642578
19531,-453.617370605469
19640,-452.073883056641
19654,-444.48779296875
19665,-443.35205078125
19720,-471.041412353516
19731,-452.25341796875
19737,-451.215057373047
19796,-450.534118652344
19823,-472.657806396484
19846,-459.644653320312
19916,-448.451232910156
19938,-445.009704589844
19971,-464.778991699219
19995,-470.420532226563
20035,-454.341430664063
20053,-477.088134765625
20059,-453.482574462891
20062,-458.929260253906
20138,-454.495361328125
20139,-464.346496582031
20186,-481.416076660156
20217,-483.8984375
20244,-494.532073974609
20247,-471.469604492188
20252,-490.504272460938
20323,-463.891662597656
20334,-473.292816162109
20383,-470.617950439453
20440,-465.828186035156
20485,-462.662048339844
20526,-467.047424316406
20539,-459.140991210938
20540,-475.3271484375
20562,-464.076538085938
20578,-462.565795898438
20689,-478.335144042969
20710,-494.234466552734
20779,-458.17724609375
20782,-488.480010986328
20783,-469.710784912109
20831,-465.611999511719
20855,-465.9873046875
20987,-474.887878417969
21067,-498.665161132813
21080,-475.982971191406
21144,-471.491760253906
21209,-507.705688476563
21232,-469.830108642578
21316,-469.744934082031
