Step,Value,Min,Max,Error
1,-1222.25732421875,-1560.0889892578125,-822.1615600585938,240.51480102539062
2,-1214.604736328125,-1726.751953125,-862.2127075195312,307.5748291015625
3,-1111.7908935546877,-1624.46240234375,-873.7498168945312,220.50338745117188
4,-1203.780029296875,-1637.2845458984375,-794.1489868164062,279.136474609375
5,-1323.541259765625,-1677.6065673828125,-890.7218627929688,230.905029296875
6,-1148.2532958984375,-1509.0740966796875,-880.5729370117188,215.2836761474609
7,-1074.3336181640623,-1497.5281982421875,-872.0910034179688,196.60140991210938
8,-1360.3897705078125,-1747.313232421875,-916.0639038085938,290.0700988769531
9,-1191.1796875,-1682.5057373046875,-771.8936767578125,252.2321014404297
10,-1117.304931640625,-1298.1361083984375,-862.6346435546875,147.30413818359375
11,-1287.8658447265625,-1581.033447265625,-1188.7274169921875,121.46955108642578
12,-1024.77197265625,-1301.853271484375,-3.3142070770263667,336.9541015625
13,-917.7499389648438,-1763.2423095703125,-417.4863586425781,345.5992736816406
14,-846.588623046875,-1330.826171875,-264.23358154296875,278.72726440429693
15,-1044.92138671875,-1420.4405517578125,-692.3404541015625,233.8272399902344
16,-1036.365966796875,-1469.705078125,-129.59515380859378,376.2106628417969
17,-941.90185546875,-1459.274169921875,-1.670737385749817,514.404052734375
18,-1048.1954345703123,-1526.64208984375,-130.73094177246094,529.4163208007811
19,-1003.3265380859376,-1478.794677734375,-127.86107635498048,512.076904296875
20,-997.4024047851562,-1491.2998046875,-245.47921752929688,472.1032104492188
21,-962.4615478515624,-1365.3494873046875,-1.7203302383422852,484.6725769042969
22,-782.4613647460938,-1359.6083984375,-0.5036650896072388,556.5111694335939
23,-970.6767578125,-1442.3138427734375,-1.9088326692581177,444.3285217285156
24,-865.43115234375,-1389.74462890625,-1.8132295608520508,566.6078491210938
25,-631.3154907226562,-1359.9876708984375,-2.477747201919556,535.0324096679689
26,-682.6785278320312,-1368.066650390625,-2.526066303253174,513.7637329101561
27,-504.3444213867188,-1362.00146484375,-0.9684768915176392,488.4891357421875
28,-557.0274658203125,-1392.1534423828125,-127.29267120361328,471.942138671875
29,-464.82171630859375,-1472.283447265625,-4.5137977600097665,438.7218322753906
30,-392.2084655761719,-1393.8248291015625,-3.022980213165283,395.98077392578125
31,-475.5774230957031,-1326.214599609375,-122.87601470947266,430.4464721679688
32,-425.6524658203125,-1342.9444580078125,-2.09010910987854,442.3610534667969
33,-334.22137451171875,-899.2943725585938,-0.40203532576560974,320.1005859375
34,-293.5285949707031,-869.450927734375,-1.3286173343658447,302.0788879394531
35,-284.4160461425781,-872.9939575195312,-2.714896440505981,226.4781188964844
36,-437.3902282714844,-1194.3055419921875,-0.369737833738327,424.7763977050781
37,-446.6175537109375,-1206.0072021484375,-1.309601664543152,402.70343017578125
38,-239.8917694091797,-865.3720092773438,-0.4572923183441162,242.8087158203125
39,-192.813720703125,-757.7542724609375,-0.37844863533973694,210.3565826416016
40,-260.86209106445307,-853.5115356445312,-2.32513427734375,216.51744079589844
41,-254.1861572265625,-640.42822265625,-0.5179728865623474,171.76852416992188
42,-200.40692138671875,-375.5451354980469,-2.8949735164642334,113.74188232421876
43,-204.2495574951172,-491.03350830078125,-0.6695525646209717,143.73927307128906
