Step,Value,Min,Max,Error
1,-1188.9658203125,-1566.61083984375,-768.81201171875,235.6372375488281
2,-1317.8323974609375,-1695.699462890625,-874.03662109375,290.28076171875
3,-1334.0496826171875,-1761.8507080078125,-934.8970336914062,286.06072998046875
4,-1144.0272216796875,-1396.1219482421875,-858.9818725585938,178.00794982910156
5,-1195.6141357421875,-1789.5830078125,-762.7123413085938,258.02682495117193
6,-1279.6317138671875,-1682.4268798828125,-994.7296142578124,235.7895965576172
7,-1188.9256591796875,-1523.0833740234375,-891.5352172851562,215.3143615722656
8,-1198.78955078125,-1668.4354248046875,-782.1878051757812,284.05377197265625
9,-1225.1756591796875,-1655.2261962890625,-868.7069091796875,231.1586456298828
10,-1088.7047119140623,-1326.9234619140625,-853.7286376953125,159.2644500732422
11,-1209.3685302734375,-1570.4053955078125,-985.103515625,162.6493377685547
12,-1120.71630859375,-1554.2900390625,-745.2303466796875,222.04312133789062
13,-994.436767578125,-1268.9556884765625,-631.218505859375,185.8002014160156
14,-1017.697509765625,-1470.5987548828125,-853.3831176757812,162.0403594970703
15,-1051.311767578125,-1210.556640625,-821.8303833007812,107.9462432861328
16,-1067.837158203125,-1351.77490234375,-602.128173828125,215.34942626953125
17,-1177.575439453125,-1349.4437255859375,-780.0458984375,157.81668090820312
18,-1156.3616943359375,-1266.0885009765625,-909.4570922851562,113.1208953857422
19,-1259.81298828125,-1354.7132568359375,-1100.460205078125,80.67225646972656
20,-1239.9361572265625,-1341.628173828125,-977.6581420898438,107.97489166259766
21,-1220.5506591796875,-1354.793212890625,-906.8921508789062,120.4850082397461
22,-1281.716064453125,-1429.67236328125,-1179.76123046875,76.69634246826172
23,-1237.625244140625,-1452.7315673828125,-983.2760620117188,118.16648864746094
24,-1247.4879150390625,-1419.1278076171875,-881.69189453125,142.02540588378906
25,-1185.1767578125,-1334.9678955078125,-1122.3392333984377,57.357872009277344
26,-1031.1412353515623,-1317.7877197265625,-506.2581481933594,239.2051544189453
27,-967.0732421875,-1340.4361572265625,-641.9132080078125,199.06036376953125
28,-900.0444946289062,-1305.96923828125,-376.4290771484375,320.56109619140625
29,-771.5336303710938,-1326.2193603515625,-139.16558837890622,359.736328125
30,-592.1856079101562,-1170.9996337890625,-246.2778625488281,305.7400817871094
