Step,Value,Min,Max,Error
1,-1188.9658203125,-1566.61083984375,-768.81201171875,235.6372375488281
2,-1253.399169921875,-1542.3223876953125,-990.5736083984376,191.30116271972656
3,-1280.28271484375,-1448.72216796875,-1050.525146484375,115.01232147216795
4,-1246.2188720703125,-1435.5721435546875,-1007.8964233398438,116.24732208251952
5,-1236.097900390625,-1506.374267578125,-1058.07470703125,117.97158813476562
6,-1243.353515625,-1449.145263671875,-1047.99169921875,95.64134216308594
7,-1235.578125,-1449.00439453125,-1041.8026123046877,100.44357299804688
8,-1230.9794921875,-1432.2398681640625,-1120.1317138671877,84.38678741455078
9,-1230.3345947265625,-1414.2919921875,-1112.154541015625,89.0518798828125
10,-1216.171630859375,-1400.8526611328125,-1087.99560546875,91.1292953491211
11,-1215.55322265625,-1416.2664794921875,-1092.236572265625,94.61811065673828
12,-1207.650146484375,-1399.7491455078125,-1063.3194580078123,91.97576904296876
13,-1191.2491455078125,-1362.8697509765625,-1030.0809326171877,84.703125
14,-1178.8525390625,-1329.0260009765625,-1028.3839111328123,77.23563385009766
15,-1170.349853515625,-1304.65234375,-1014.6137084960938,73.53340911865234
16,-1163.9427490234375,-1296.955322265625,-988.8333740234376,76.79715728759766
17,-1164.7447509765625,-1295.3258056640625,-976.5517578125,78.40026092529297
18,-1164.2789306640625,-1293.512939453125,-976.0596923828124,77.55924987792969
19,-1169.30712890625,-1292.5721435546875,-994.28564453125,73.7072525024414
20,-1172.838623046875,-1293.96875,-1005.90283203125,71.58641815185547
21,-1175.110595703125,-1295.7711181640625,-1015.2909545898438,68.02660369873047
22,-1179.956298828125,-1298.8126220703125,-1023.4739990234376,66.62669372558594
23,-1182.463623046875,-1294.560302734375,-1036.0736083984377,63.402626037597656
24,-1185.1729736328125,-1295.27392578125,-1047.2703857421877,61.65094375610352
25,-1185.173095703125,-1289.182861328125,-1055.2509765625,58.40578842163086
26,-1179.248779296875,-1288.3397216796875,-1045.0166015625,61.5913314819336
27,-1171.390380859375,-1279.3038330078125,-1039.36865234375,60.56109619140625
28,-1161.699462890625,-1267.350830078125,-1015.6922607421876,64.47483825683594
29,-1148.24560546875,-1251.6123046875,-998.5322875976562,67.04171752929689
30,-1129.710205078125,-1222.7491455078125,-973.4571533203124,69.41999053955078
31,-1110.0966796875,-1211.4300537109375,-953.6924438476562,71.89494323730469
32,-1091.69873046875,-1196.1790771484375,-931.2733154296876,74.32130432128906
33,-1073.213623046875,-1186.2811279296875,-914.3305053710938,76.30860900878906
34,-1058.1395263671877,-1182.3526611328125,-895.0523071289062,80.12712097167969
35,-1045.0987548828123,-1173.312255859375,-876.6273193359375,83.8968505859375
36,-1030.572998046875,-1163.061767578125,-855.7587890625,87.82015228271484
37,-1019.7871704101562,-1153.7764892578125,-839.1422119140625,90.46379089355469
38,-1008.3562622070312,-1146.5107421875,-820.41552734375,94.47303009033205
39,-995.2489013671876,-1139.7039794921875,-805.7973022460938,98.4184112548828
40,-982.413330078125,-1132.807373046875,-788.8422241210938,102.04010772705078
41,-969.3051147460938,-1130.1734619140625,-775.7587280273438,105.02200317382812
42,-956.052490234375,-1123.962158203125,-760.3370361328125,110.06561279296876
43,-943.084228515625,-1115.940673828125,-748.3650512695312,112.71675872802734
44,-931.5857543945312,-1107.744384765625,-736.8495483398438,114.3005599975586
45,-916.2262573242188,-1091.400146484375,-723.3526000976562,114.6164779663086
46,-904.7090454101562,-1083.9610595703123,-710.2398071289062,115.9656219482422
47,-893.1812133789062,-1074.2996826171877,-700.4955444335938,116.20928192138672
48,-880.7029418945312,-1059.6622314453123,-693.4912109375,114.51892852783205
49,-866.7290649414062,-1040.728271484375,-681.8788452148438,112.55183410644531
50,-853.4281616210938,-1024.9669189453123,-675.11279296875,110.62110900878906
51,-841.0875854492188,-1009.7517700195312,-664.3698120117188,108.8229522705078
52,-829.0899047851562,-995.0040283203124,-656.411376953125,106.38420867919922
53,-817.6837768554688,-980.8768920898438,-648.68359375,104.61433410644531
54,-805.3809204101562,-968.8964233398438,-638.9707641601562,103.13221740722656
55,-793.3412475585938,-951.2886962890624,-631.6659545898438,100.02130889892578
56,-781.3693237304688,-934.3121948242188,-622.6869506835938,97.5415267944336
57,-770.8734741210938,-922.242919921875,-613.9395141601562,96.92787170410156
58,-759.7922973632812,-908.5982055664062,-603.42138671875,95.32235717773438
59,-750.351318359375,-897.3358764648438,-599.2349853515625,92.55048370361328
60,-739.1472778320312,-882.3877563476562,-591.3042602539062,90.49054718017578
61,-729.557861328125,-869.9970703125,-583.5975952148438,89.60871887207031
62,-720.51416015625,-859.7801513671875,-576.222412109375,88.39851379394531
63,-711.5195922851562,-850.0484008789062,-570.9909057617188,87.0276107788086
64,-702.3118896484375,-838.6612548828125,-563.9320068359375,85.78423309326172
65,-693.5472412109375,-827.7605590820312,-557.1099853515625,84.44571685791016
66,-685.7803344726562,-817.032470703125,-552.3990478515625,82.58683013916016
67,-677.691650390625,-806.6704711914062,-547.9985961914061,80.9176254272461
68,-670.471435546875,-796.575927734375,-541.6884765625,80.05841827392578
69,-662.3753662109375,-786.813232421875,-535.5810546875,78.51963806152344
70,-655.4336547851562,-778.8565063476562,-528.0223999023439,78.4138412475586
71,-648.0303955078125,-771.3470458984375,-520.5968627929689,77.96593475341797
72,-642.0059204101562,-764.0140991210938,-513.3797607421875,77.5933837890625
73,-635.3400268554688,-755.2605590820312,-507.9441223144531,76.72067260742188
74,-629.0984497070312,-748.152587890625,-502.6861572265625,76.28977966308594
75,-622.3050537109375,-739.749267578125,-497.5728759765625,74.8124008178711
76,-616.3861083984375,-733.0468139648438,-494.2536926269531,73.60948944091797
77,-609.8156127929688,-725.0997924804688,-489.3921813964844,72.73369598388672
78,-604.2101440429688,-717.4130859375,-486.09381103515625,71.63552856445312
79,-598.3833618164062,-709.8450317382812,-481.4860534667969,70.39217376708984
80,-592.5621337890625,-702.551513671875,-478.2885437011719,69.13650512695311
81,-587.14306640625,-695.4236450195312,-472.4089050292969,68.22513580322266
82,-581.9331665039062,-688.4660034179688,-468.04681396484375,67.17123413085939
83,-576.9277954101562,-683.0676879882812,-463.8454895019531,66.26762390136719
84,-571.4119873046875,-674.9561157226562,-459.72747802734375,65.26901245117189
85,-566.2398681640625,-668.369873046875,-455.7122497558594,64.44553375244139
86,-561.51611328125,-663.2429809570312,-454.3214111328125,63.36211395263672
87,-556.21435546875,-655.6324462890625,-450.5225830078125,62.55178451538086
88,-551.8978271484375,-649.5791625976562,-448.0579528808594,61.84326171875
89,-547.1527709960939,-643.62841796875,-444.3949890136719,61.05862808227539
90,-542.8975219726561,-637.7965698242188,-440.84844970703125,60.5616340637207
91,-538.4812622070311,-632.084228515625,-436.0174560546875,60.21158981323242
92,-533.841552734375,-626.5098876953125,-431.3239135742188,59.70862197875977
93,-529.880615234375,-621.1051025390625,-429.4541320800781,59.01617431640625
94,-526.2307739257811,-617.1773071289062,-424.9097290039063,58.64810562133789
95,-522.2488403320311,-611.9813842773438,-420.4571838378906,58.35547637939453
96,-518.5009155273439,-606.9298095703125,-417.367431640625,57.56837463378906
97,-514.8245239257811,-601.9464721679688,-415.7330017089844,56.84058380126953
98,-510.9990539550781,-598.14990234375,-412.66094970703125,56.52770614624024
99,-507.3085021972656,-593.3516845703125,-409.7079162597656,56.19064331054688
100,-503.334228515625,-588.6642456054688,-406.782958984375,55.67831802368164
101,-493.0850524902344,-577.9470825195312,-396.0326232910156,55.75581741333008
102,-481.1143493652344,-565.080810546875,-384.2190856933594,55.75924301147461
103,-469.36431884765625,-551.1775512695311,-376.4783020019531,55.53144073486328
104,-459.4104309082031,-539.6437377929689,-364.15277099609375,56.3874397277832
105,-448.5416870117188,-522.9201049804689,-355.1951904296875,54.53509521484375
106,-437.248046875,-512.4782104492189,-343.86865234375,53.28475952148438
107,-426.8725280761719,-499.2033996582031,-335.2811584472656,53.26135635375977
108,-416.07720947265625,-487.24072265625,-327.765869140625,51.8331069946289
109,-405.1563415527344,-475.7240905761719,-320.8570556640625,50.81360244750977
110,-395.55499267578125,-464.1834716796875,-313.369384765625,50.08872604370117
111,-385.0107727050781,-450.7338562011719,-303.20770263671875,49.52939987182617
112,-375.5980529785156,-439.77862548828125,-297.0032043457031,48.76228332519531
113,-367.2708740234375,-432.9788818359375,-291.9060363769531,49.02384567260742
114,-358.47796630859375,-425.27252197265625,-283.0360412597656,48.5311279296875
115,-349.16156005859375,-416.8114318847656,-276.041748046875,48.16610336303711
116,-340.0576171875,-407.43927001953125,-270.05447387695307,47.22272872924805
117,-329.88958740234375,-395.9176635742188,-263.4586181640625,46.079856872558594
118,-319.6290588378906,-384.5342712402344,-255.02218627929688,45.15728759765625
119,-308.49554443359375,-373.0356750488281,-243.059814453125,44.88929748535156
120,-297.5753173828125,-362.7443542480469,-233.2151641845703,44.187744140625
121,-286.86798095703125,-351.7939758300781,-222.4239501953125,44.090721130371094
122,-275.7802124023437,-340.4949645996094,-212.88145446777344,44.02049255371094
123,-264.16552734375,-328.4887390136719,-199.76954650878903,44.00430679321289
124,-252.76763916015625,-315.37628173828125,-189.0215759277344,43.19575881958008
125,-242.3236083984375,-305.12481689453125,-177.79832458496094,43.35275650024414
126,-233.0,-293.6719970703125,-171.13815307617188,42.1921501159668
127,-224.62469482421875,-284.4327697753906,-164.57717895507812,41.85517120361328
128,-216.7046813964844,-276.173583984375,-162.00860595703125,40.35893249511719
129,-210.38710021972656,-269.30526733398443,-156.88038635253906,38.710052490234375
130,-205.4519195556641,-266.72036743164057,-155.61288452148438,37.61637496948242
131,-201.79074096679688,-259.25006103515625,-154.35409545898438,35.6757698059082
132,-198.0983123779297,-253.1987762451172,-154.22608947753906,33.975780487060554
133,-194.27114868164062,-245.70909118652344,-150.52536010742188,32.61906051635742
134,-190.0945281982422,-236.3627777099609,-149.11940002441406,30.18256378173828
135,-185.75704956054688,-231.10797119140625,-148.87649536132812,28.22929954528809
136,-181.73931884765625,-224.30165100097656,-148.88095092773438,25.9333438873291
137,-176.82791137695312,-217.2988128662109,-147.69024658203125,24.97164535522461
138,-172.3585968017578,-209.73326110839844,-147.4310302734375,22.740406036376953
139,-168.6933135986328,-202.1879730224609,-145.11109924316406,20.008913040161133
140,-165.3811798095703,-194.7172393798828,-143.87103271484375,17.17464256286621
141,-162.53907775878906,-186.74855041503903,-145.10508728027344,14.72837734222412
142,-159.826171875,-179.33087158203125,-144.61181640625,11.777021408081055
143,-157.1666259765625,-176.3540802001953,-142.17222595214844,10.135210990905762
144,-153.87803649902344,-167.28204345703125,-142.092041015625,8.419967651367188
145,-152.657470703125,-163.9175567626953,-142.00755310058594,7.6510796546936035
146,-150.1805419921875,-161.76510620117188,-141.92724609375,6.430337905883789
147,-147.63052368164062,-159.26797485351562,-139.69877624511722,6.1256489753723145
148,-145.9959259033203,-159.1309814453125,-137.94192504882812,6.504016876220702
149,-145.63497924804688,-162.50059509277344,-132.77113342285156,8.02302074432373
