Wall time,Step,Value,Min,Max,Error
1555179055.87516,1,-27.6407585144043,-35.4242897033691,82.6742782592774,25.3214111328125
1555179056.23088,2,-30.4618282318115,-34.906982421875,24.9148921966553,12.7182521820068
1555179056.57246,3,-31.4172325134277,-34.3567085266113,5.71478843688965,8.53542137145996
1555179056.91156,4,-31.914436340332,-34.407829284668,-4.20609617233276,6.37523937225342
1555179057.25665,5,-32.1391639709473,-34.2808151245117,-10.2693777084351,5.03464412689209
1555179057.60694,6,-32.3723030090332,-34.0794830322266,-14.2717895507813,4.16805219650269
1555179057.95801,7,-32.5015106201172,-33.9059257507324,-17.1707153320313,3.53268933296204
1555179058.29924,8,-32.596549987793,-33.942928314209,-19.1994285583496,3.09397459030151
1555179058.64511,9,-32.673023223877,-33.7956199645996,-20.7014789581299,2.76637077331543
1555179088.475,10,-32.7290000915527,-33.8042755126953,-21.9811325073242,2.48931932449341
1555179093.25879,11,-27.9119606018066,-34.4028778076172,-13.5147523880005,6.14805126190186
1555179098.08681,12,-23.8539905548096,-34.264476776123,-5.02680397033691,8.80472087860107
1555179102.69092,13,-19.7057666778564,-34.0697326660156,-5.79856252670288,9.01095581054688
1555179106.94587,14,-16.4755706787109,-33.5609321594238,0.317115217447281,11.2306623458862
1555179111.63474,15,-14.5953969955444,-33.0051307678223,4.97988414764404,11.0321207046509
1555179115.65817,16,-11.8411931991577,-32.5212860107422,9.6925163269043,12.0168790817261
1555179120.26138,17,-9.35559749603272,-31.7065124511719,14.0984621047974,12.2101364135742
1555179124.73646,18,-6.64250135421753,-25.1916179656982,17.910758972168,12.7073078155518
1555179129.00305,19,-4.34811496734619,-25.1115303039551,20.6591110229492,13.5350475311279
1555179161.88773,20,-2.14982724189758,-25.1793956756592,20.9697780609131,14.2460327148438
1555179166.13103,21,-0.552002608776093,-25.5835285186768,24.1032276153564,14.4908752441406
1555179170.18464,22,0.960041761398315,-25.5784759521484,27.2971477508545,15.1994371414185
1555179174.26257,23,2.44692373275757,-25.564001083374,25.0717144012451,15.5538702011108
1555179177.86905,24,4.51722192764282,-24.6489067077637,27.6227188110352,16.0458183288574
1555179182.08613,25,5.8297815322876,-21.4038162231445,26.8543434143066,15.8765268325806
1555179186.51717,26,6.81344652175903,-21.7182140350342,29.4438247680664,16.1953163146973
1555179190.57133,27,7.96167135238647,-21.8504600524902,31.5462303161621,16.1456127166748
1555179194.60475,28,8.95316314697266,-22.0165901184082,33.623161315918,16.9778118133545
1555179199.10688,29,9.52529716491699,-22.08278465271,35.261905670166,17.3196468353271
1555179232.16092,30,10.7103042602539,-22.1976337432861,37.0188903808594,18.1213073730469
1555179237.10785,31,10.6220836639404,-22.598123550415,38.5414047241211,18.2518119812012
1555179241.04388,32,11.6675720214844,-19.0425586700439,39.7212600708008,18.5498676300049
1555179244.52691,33,12.5832614898682,-15.8434238433838,40.7098197937012,18.496955871582
1555179248.91336,34,13.7467889785767,-14.7887172698975,41.6270332336426,18.5982723236084
1555179253.38781,35,14.1518688201904,-11.986255645752,42.9325752258301,18.3049182891846
1555179257.69324,36,14.5199851989746,-12.2742223739624,44.2283172607422,18.6428050994873
1555179262.30105,37,15.1612091064453,-12.4603643417358,45.3393402099609,18.5459480285645
1555179266.06024,38,16.07373046875,-12.7603321075439,46.3444786071777,18.5730533599854
1555179269.66046,39,16.7324390411377,-12.9440565109253,47.447566986084,18.5236949920654
1555179302.35753,40,16.984790802002,-13.2166242599487,45.5935287475586,18.4895992279053
1555179306.31949,41,17.8087482452393,-13.3642559051514,46.6060180664063,18.6370811462402
1555179310.55348,42,18.4581336975098,-13.5200300216675,47.6053886413574,19.0690002441406
1555179314.05592,43,19.2283172607422,-13.7702436447144,48.432861328125,19.4033679962158
1555179317.51825,44,20.0061149597168,-13.9622535705566,49.3951568603516,19.6084213256836
1555179321.07792,45,20.8307056427002,-11.8095445632935,50.3949851989746,19.6791152954102
1555179324.27204,46,21.7597923278809,-11.343505859375,51.1737594604492,19.0799541473389
1555179327.64406,47,22.6591644287109,-11.5078439712524,51.9196929931641,18.7767581939697
1555179331.04952,48,23.3833274841309,-11.7482118606567,52.5034904479981,19.0650806427002
1555179334.75927,49,24.1256790161133,-9.72871208190918,53.1552467346191,18.8204498291016
1555179365.33388,50,24.8067417144775,-9.90937328338623,53.8316612243652,18.5637817382813
1555179368.68858,51,25.556921005249,-10.096640586853,54.5525131225586,18.418212890625
1555179371.99713,52,26.2987155914307,-8.30170345306397,55.2329978942871,18.3519458770752
1555179375.57743,53,27.06174659729,-6.63430166244507,55.7327880859375,18.1062641143799
1555179378.81272,54,27.9228553771973,-4.97416067123413,56.0481605529785,17.9940280914307
1555179381.96479,55,28.5560493469238,-5.29750680923462,56.714412689209,18.0077342987061
1555179385.21366,56,29.0782375335693,-3.57437968254089,57.2155685424805,17.90478515625
1555179387.86501,57,29.8848133087158,-2.41219639778137,57.7151336669922,17.7418041229248
1555179390.39457,58,30.7547798156738,-2.78831768035889,58.3372116088867,17.6381149291992
1555179392.56718,59,31.6278457641602,-1.18931901454926,58.9209976196289,17.325231552124
1555179421.26937,60,32.3187026977539,0.306119740009308,59.452507019043,17.1064853668213
1555179424.18774,61,32.9996643066406,1.64283132553101,59.8119277954102,16.9220161437988
1555179427.0639,62,33.7039909362793,2.98418474197388,60.3035583496094,16.6537342071533
1555179429.26642,63,34.5265998840332,4.43322992324829,60.7727279663086,16.4091835021973
1555179431.66454,64,35.2593994140625,5.85322952270508,61.2987937927246,16.1320095062256
1555179434.01014,65,35.9434242248535,7.21933698654175,61.772388458252,15.8330249786377
1555179436.33851,66,36.5412750244141,8.463210105896,62.2297592163086,15.6286096572876
1555179439.21313,67,37.0759315490723,7.98911905288696,62.6417999267578,15.5284671783447
1555179441.82564,68,37.6711196899414,9.24554252624512,63.0417251586914,15.2478885650635
1555179444.03935,69,38.3443450927734,10.3836078643799,63.4599227905273,15.0390110015869
1555179467.18085,70,38.9652061462402,11.4580497741699,63.8055038452148,14.9691867828369
1555179469.11461,71,39.6426048278809,12.4050807952881,64.201286315918,14.7503280639648
1555179471.39727,72,40.2634239196777,13.4575347900391,64.5861129760742,14.5476064682007
1555179473.35543,73,40.8924026489258,14.4498538970947,64.9498062133789,14.3425397872925
1555179475.41746,74,41.4829216003418,15.5181932449341,65.3382568359375,14.1274480819702
1555179477.68481,75,41.9144515991211,16.4563102722168,65.7028884887695,14.0083961486816
1555179479.73009,76,42.4832344055176,17.4617519378662,66.0393981933594,13.8030309677124
1555179481.64847,77,42.991626739502,18.3294696807861,66.3813934326172,13.7393703460693
1555179483.4549,78,43.5330390930176,19.2328548431396,66.7235946655273,13.5488004684448
1555179484.99727,79,44.1018676757813,20.14430809021,66.9950332641602,13.3724813461304
