Step,Value,Min,Max,Error
1,-1092.35888671875,-1845.305908203125,-864.3146362304688,278.02691650390625
2,-1228.0684814453125,-1633.8482666015625,-821.864501953125,276.04931640625
3,-1300.8302001953125,-1764.8917236328125,-1043.125,227.9673309326172
4,-1077.9322509765623,-1667.591796875,-876.108154296875,222.1808013916016
5,-1121.0577392578123,-1616.9580078125,-867.9718627929688,222.22056579589844
6,-1188.36328125,-1636.6236572265625,-890.147216796875,208.1981964111328
7,-1220.35595703125,-1791.049560546875,-749.1573486328125,341.286865234375
8,-1182.1329345703125,-1748.5517578125,-692.8147583007812,290.20025634765625
9,-1224.15234375,-1594.5689697265625,-856.6362915039062,238.04443359375
10,-1136.13232421875,-1579.3404541015625,-774.6664428710938,275.49655151367193
11,-1241.5673828125,-1514.53955078125,-1085.64990234375,130.72755432128906
12,-1243.921630859375,-1479.689697265625,-994.0986328125,132.91162109375
13,-1282.3138427734375,-1428.676513671875,-1178.6390380859375,77.12932586669922
14,-1446.6229248046875,-1701.7115478515625,-1224.7923583984375,123.3316650390625
15,-1396.5810546875,-1665.684326171875,-1040.3160400390623,177.8096923828125
16,-1477.255126953125,-1736.4625244140625,-1015.3386840820312,200.330078125
17,-1608.943115234375,-1719.604248046875,-1504.386474609375,69.74112701416016
18,-1609.0537109375,-1778.7554931640625,-1398.058837890625,96.3533935546875
19,-1639.842041015625,-1751.1475830078125,-1454.179443359375,87.34595489501953
20,-1636.914306640625,-1743.592529296875,-1451.4388427734375,76.59317016601562
21,-1632.8658447265625,-1772.51953125,-1460.9337158203125,97.62045288085938
22,-1609.546142578125,-1792.1806640625,-1481.76171875,96.12459564208984
23,-1581.73046875,-1755.84228515625,-1432.5802001953125,92.77645111083984
24,-1574.2059326171875,-1643.552734375,-1538.8304443359375,36.46296691894531
25,-1550.65478515625,-1636.662109375,-1450.293701171875,56.6978759765625
26,-1521.057861328125,-1724.107666015625,-1381.9456787109375,100.35696411132812
27,-1527.3707275390625,-1682.236328125,-1394.6943359375,88.71407318115234
28,-1520.56787109375,-1620.086181640625,-1341.38232421875,69.99295043945311
29,-1506.119384765625,-1622.8292236328125,-1379.128173828125,67.49288177490234
30,-1494.8896484375,-1606.787353515625,-1368.031982421875,71.46553802490234
31,-1528.2537841796875,-1614.7899169921875,-1301.3187255859375,85.10576629638672
32,-1499.5599365234375,-1663.3792724609375,-1243.5684814453125,112.98648071289062
33,-1526.2984619140625,-1640.888916015625,-1314.44873046875,85.7452621459961
34,-1517.0792236328125,-1617.5113525390625,-1371.7781982421875,72.95117950439453
35,-1406.7667236328125,-1569.961669921875,-1293.8978271484375,86.21142578125
36,-1494.09326171875,-1584.5201416015625,-1317.3018798828125,78.97350311279297
37,-1442.831787109375,-1566.8460693359375,-1216.150390625,114.57565307617188
38,-1431.545166015625,-1543.29931640625,-1277.6165771484375,89.35523223876953
39,-1374.3209228515625,-1538.041259765625,-1194.92041015625,118.02542877197266
40,-1336.9150390625,-1536.7738037109375,-772.7169799804688,207.32313537597656
41,-1374.192626953125,-1549.544677734375,-1130.854736328125,115.25994110107422
42,-1354.197265625,-1482.5362548828125,-1159.5989990234375,106.1840591430664
43,-1343.6868896484375,-1461.1480712890625,-985.1093139648438,134.29533386230472
44,-1323.076171875,-1492.126220703125,-1112.4307861328123,119.27685546875
45,-1314.3599853515625,-1453.049560546875,-1074.5413818359377,119.6794662475586
46,-1292.0101318359375,-1436.4727783203125,-1099.534912109375,85.04943084716797
47,-1212.032470703125,-1419.016357421875,-909.2962646484376,155.7089080810547
48,-1283.4593505859375,-1472.19091796875,-1121.7022705078123,105.02281188964844
49,-1259.802978515625,-1385.687255859375,-1121.5247802734377,77.6412124633789
50,-1210.396728515625,-1393.630126953125,-908.5675048828124,151.1935272216797
51,-1215.4921875,-1470.938720703125,-921.37060546875,129.08662414550778
52,-1151.1861572265625,-1361.07763671875,-664.3621826171875,183.24046325683597
53,-1185.0186767578125,-1290.7703857421875,-868.4041137695312,108.60301971435548
54,-1170.6895751953125,-1388.954833984375,-858.5164184570312,156.92442321777344
55,-1203.7357177734375,-1449.421875,-970.94140625,131.83541870117188
56,-1214.0909423828125,-1375.6719970703125,-977.131591796875,119.87866973876952
57,-1190.070556640625,-1379.952880859375,-890.6964721679688,160.3041229248047
58,-1107.210693359375,-1329.1011962890625,-511.0311584472656,208.15643310546875
59,-1085.474853515625,-1385.5711669921875,-417.6039733886719,238.6631317138672
60,-1138.5906982421875,-1302.6231689453125,-781.0404663085938,143.48428344726562
61,-1046.9801025390623,-1280.1678466796875,-531.540771484375,204.4822540283203
62,-1090.5706787109377,-1266.852783203125,-649.2322998046875,164.4611358642578
63,-1039.7198486328123,-1264.614013671875,-742.037109375,140.15664672851562
64,-994.736083984375,-1216.4451904296875,-639.8023681640625,177.30088806152344
65,-1049.4837646484377,-1353.341552734375,-704.875244140625,193.35752868652344
66,-1011.5955810546876,-1185.0997314453125,-641.1637573242188,167.4752655029297
67,-951.5765991210938,-1211.2537841796875,-516.6649169921875,184.52474975585938
68,-932.4140625,-1129.744384765625,-421.3462219238281,206.12388610839844
69,-953.3546142578124,-1110.82763671875,-663.0068969726562,138.27079772949222
70,-923.3972778320312,-1141.3631591796875,-651.3164672851562,168.49354553222656
71,-916.4815063476562,-1133.406494140625,-396.2480163574219,195.2549591064453
72,-888.8032836914062,-1027.156494140625,-765.5709838867188,73.07791137695312
73,-922.3472290039062,-1406.97705078125,-638.53125,202.801025390625
74,-959.90625,-1385.77294921875,-783.8388061523438,165.45037841796875
75,-921.333740234375,-1412.5576171875,-441.1390686035156,263.44775390625
76,-877.7250366210938,-1145.5430908203125,-516.2792358398439,151.0272674560547
77,-858.9118041992188,-1036.9005126953123,-515.7576293945311,139.7802734375
78,-832.0694580078125,-1071.6253662109377,-551.1411743164061,141.08154296875
79,-769.9038696289062,-1505.275390625,-268.2213134765625,348.8460998535156
80,-922.4237670898438,-1269.87060546875,-589.3187866210938,183.86062622070312
81,-884.637451171875,-1196.89501953125,-654.6517333984375,141.0112762451172
82,-878.0620727539062,-1188.1556396484375,-543.1279296875,180.7413024902344
83,-823.857177734375,-1374.753173828125,-517.8912353515625,281.97412109375
84,-896.2499389648438,-1450.87353515625,-534.0319213867189,241.4410095214844
85,-900.4411010742188,-1361.6904296875,-509.6743774414063,256.4722900390625
86,-805.0121459960938,-1394.87060546875,-374.7951049804688,286.75115966796875
87,-855.326904296875,-1382.802734375,-529.8001708984375,247.63812255859372
88,-796.457275390625,-1469.2578125,-516.39453125,277.27703857421875
89,-821.0355834960938,-1186.6461181640625,-530.9317016601561,183.1860656738281
90,-766.5419921875,-1065.538330078125,-628.9534301757812,128.78388977050778
91,-651.9256591796875,-815.00244140625,-382.69036865234375,147.1374969482422
92,-819.2255249023438,-1274.2974853515625,-513.123291015625,241.77960205078125
93,-831.7440795898438,-1299.2254638671875,-395.5485229492188,274.746337890625
94,-777.8523559570312,-1085.4210205078123,-383.3592834472656,188.9699249267578
95,-835.1839599609375,-1062.067626953125,-649.3480834960938,130.76094055175778
96,-694.9712524414062,-1145.759765625,-268.19711303710943,238.2989959716797
97,-774.2324829101562,-1398.7501220703125,-384.9131164550781,263.26559448242193
98,-635.05712890625,-912.9482421875,-263.943603515625,216.3933868408203
99,-733.914306640625,-1079.6566162109377,-386.1893310546875,197.2456359863281
100,-727.5282592773438,-1216.427490234375,-515.511474609375,250.43267822265625
