Step,Value,Min,Max,Error
1,-1092.35888671875,-1845.305908203125,-864.3146362304688,278.02691650390625
2,-1160.2137451171875,-1502.4227294921875,-845.5572509765625,209.8999938964844
3,-1207.0858154296875,-1391.6614990234375,-1001.2744140625,114.71304321289062
4,-1174.7974853515625,-1460.64404296875,-1004.9092407226562,112.58853149414062
5,-1164.049560546875,-1403.9642333984375,-987.8486328125,98.6029815673828
6,-1168.101806640625,-1318.328125,-1002.8569946289062,74.00733184814453
7,-1175.566650390625,-1341.98681640625,-1001.7418823242188,96.4368667602539
8,-1176.387451171875,-1298.7335205078125,-1089.4935302734377,69.50368499755861
9,-1181.6947021484375,-1292.587158203125,-1068.626220703125,71.1733169555664
10,-1177.138427734375,-1266.681396484375,-1041.20751953125,69.36609649658203
11,-1182.99560546875,-1269.958251953125,-1050.8736572265623,64.82279968261719
12,-1188.07275390625,-1265.1077880859375,-1059.9429931640623,60.9518928527832
13,-1195.3221435546875,-1267.612548828125,-1078.20361328125,54.73704528808594
14,-1213.272216796875,-1268.3907470703125,-1122.7398681640623,48.033958435058594
15,-1225.4927978515625,-1269.8603515625,-1158.9361572265625,36.74025344848633
16,-1241.2279052734375,-1276.6690673828125,-1185.8968505859375,30.385412216186523
17,-1262.858154296875,-1293.0025634765625,-1205.8211669921875,28.67700004577637
18,-1282.09130859375,-1305.239013671875,-1216.5010986328125,28.086116790771484
19,-1300.9202880859375,-1327.4346923828125,-1238.201904296875,27.1729679107666
20,-1317.719970703125,-1340.136962890625,-1256.442138671875,25.662635803222656
21,-1332.7269287109375,-1359.2789306640625,-1281.0172119140625,24.64401817321777
22,-1345.3095703125,-1371.703369140625,-1298.8321533203125,24.69919586181641
23,-1355.5887451171875,-1387.4144287109375,-1312.927001953125,25.852783203125
24,-1364.6978759765625,-1394.8779296875,-1325.025390625,24.726436614990234
25,-1372.1361083984375,-1402.7774658203125,-1335.660400390625,24.70659255981445
26,-1377.8638916015625,-1412.135498046875,-1345.3758544921875,23.3725700378418
27,-1383.401123046875,-1411.4896240234375,-1350.531005859375,22.10442352294922
28,-1388.2999267578125,-1417.22021484375,-1354.8951416015625,20.88371467590332
29,-1392.3626708984375,-1419.8392333984375,-1358.7425537109375,20.863927841186523
30,-1395.7802734375,-1425.724853515625,-1365.384033203125,20.450830459594727
31,-1400.0535888671875,-1429.6273193359375,-1371.84521484375,18.568723678588867
32,-1403.1632080078125,-1432.7215576171875,-1378.0986328125,18.104236602783203
33,-1406.89453125,-1437.176513671875,-1381.0120849609375,17.528568267822266
34,-1410.13525390625,-1442.48046875,-1385.0255126953125,17.407024383544922
35,-1410.0390625,-1439.989990234375,-1383.8258056640625,17.540929794311527
36,-1412.3739013671875,-1444.004638671875,-1386.9276123046875,17.78116798400879
37,-1413.197021484375,-1446.190185546875,-1390.18603515625,16.708185195922848
38,-1413.679931640625,-1448.5206298828125,-1387.74365234375,17.513383865356445
39,-1412.670654296875,-1447.9327392578125,-1387.8389892578125,17.752803802490234
40,-1410.77685546875,-1447.4779052734375,-1387.250244140625,17.86422348022461
41,-1409.884521484375,-1442.2938232421875,-1385.6671142578125,17.828031539916992
42,-1408.55859375,-1443.2218017578125,-1387.189697265625,17.812875747680664
43,-1407.0499267578125,-1441.42724609375,-1386.280517578125,17.827415466308594
44,-1405.1414794921875,-1438.3072509765625,-1385.4761962890625,17.804548263549805
45,-1403.1241455078125,-1436.91845703125,-1381.7052001953125,18.589195251464844
46,-1400.7086181640625,-1432.7213134765625,-1380.5504150390625,17.646495819091797
47,-1396.6942138671875,-1432.4298095703125,-1374.169677734375,18.250850677490234
48,-1394.3350830078125,-1431.1688232421875,-1368.9100341796875,18.64243507385254
49,-1391.589599609375,-1426.314453125,-1365.576416015625,17.991605758666992
50,-1387.9658203125,-1422.103759765625,-1356.436279296875,17.9329776763916
51,-1384.5838623046875,-1419.3819580078125,-1347.905517578125,18.274065017700195
52,-1380.095458984375,-1412.9246826171875,-1341.6075439453125,18.274084091186523
53,-1376.414794921875,-1407.41552734375,-1340.117431640625,17.738004684448242
54,-1372.6051025390625,-1401.682373046875,-1331.708984375,18.72795295715332
55,-1369.53466796875,-1396.0947265625,-1326.652587890625,18.952381134033203
56,-1366.7589111328125,-1390.8671875,-1320.4111328125,19.45549201965332
57,-1363.6591796875,-1388.26611328125,-1312.872314453125,20.445600509643555
58,-1359.2376708984375,-1384.374755859375,-1299.0474853515625,22.64746856689453
59,-1354.5975341796875,-1381.8101806640625,-1293.8935546875,23.918880462646484
60,-1350.9974365234375,-1377.146240234375,-1285.345947265625,24.4619083404541
61,-1346.0135498046875,-1374.3251953125,-1278.854736328125,25.30001640319824
62,-1341.8935546875,-1372.4052734375,-1268.6995849609375,26.96339607238769
63,-1337.09716796875,-1370.6943359375,-1263.453369140625,27.01193046569824
64,-1331.7476806640625,-1366.2333984375,-1253.7088623046875,27.921077728271484
65,-1327.4051513671875,-1364.5672607421875,-1245.2652587890625,29.773696899414066
66,-1322.6202392578125,-1359.9359130859375,-1236.1121826171875,31.05495643615723
67,-1317.082275390625,-1356.5953369140625,-1225.3741455078125,32.74541473388672
68,-1311.42529296875,-1352.2342529296875,-1213.55029296875,34.531742095947266
69,-1306.2359619140625,-1346.4891357421875,-1207.1876220703125,34.766246795654304
70,-1300.766845703125,-1343.5587158203125,-1201.4293212890625,35.184188842773445
71,-1295.3543701171875,-1335.6112060546875,-1197.1846923828125,34.45159912109375
72,-1289.707763671875,-1331.3270263671875,-1191.47216796875,34.58506393432617
73,-1284.6754150390625,-1326.794189453125,-1183.8975830078125,35.579742431640625
74,-1280.28662109375,-1319.5201416015625,-1178.491455078125,35.88459777832031
75,-1275.5006103515625,-1308.9202880859375,-1168.6600341796875,36.377586364746094
76,-1270.2667236328125,-1303.8175048828125,-1160.076171875,37.27128219604492
77,-1264.9244384765625,-1297.79638671875,-1158.104248046875,36.14137268066406
78,-1259.3751220703125,-1293.1240234375,-1153.1868896484375,35.813743591308594
79,-1253.17919921875,-1285.0501708984375,-1144.7962646484375,36.06473159790039
80,-1249.0447998046875,-1278.7247314453125,-1137.852783203125,36.80288696289063
81,-1244.5458984375,-1274.763916015625,-1136.17626953125,36.03894805908203
82,-1240.07666015625,-1270.5174560546875,-1131.976318359375,35.614112854003906
83,-1235.0618896484375,-1271.7733154296875,-1125.0003662109377,36.67036437988281
84,-1231.0284423828125,-1265.2978515625,-1122.5286865234377,35.8043327331543
85,-1227.13916015625,-1264.8787841796875,-1118.5501708984377,36.56980895996094
86,-1222.230712890625,-1259.1512451171875,-1109.90185546875,37.83330154418945
87,-1218.013427734375,-1257.3135986328125,-1104.8990478515623,38.81675338745117
88,-1213.2230224609375,-1250.45654296875,-1105.83935546875,37.647865295410156
89,-1208.81640625,-1248.7056884765625,-1105.712158203125,36.90261840820313
90,-1203.9022216796875,-1244.6622314453125,-1101.106689453125,37.077823638916016
91,-1197.8365478515625,-1239.9361572265625,-1097.343994140625,36.46004104614258
92,-1193.7213134765625,-1236.42041015625,-1096.80078125,35.991920471191406
93,-1189.8289794921875,-1237.095703125,-1097.51513671875,35.67880249023437
94,-1185.4462890625,-1235.482177734375,-1089.917724609375,36.896949768066406
95,-1181.75927734375,-1233.4532470703125,-1088.994384765625,36.3190803527832
96,-1176.6885986328125,-1229.1199951171875,-1081.7052001953123,37.796180725097656
97,-1172.53955078125,-1225.7083740234375,-1074.521728515625,39.17749786376953
98,-1167.0550537109375,-1222.5169677734375,-1067.360595703125,39.9616584777832
99,-1162.679931640625,-1219.7720947265625,-1063.08203125,40.72430419921875
100,-1158.328369140625,-1219.7386474609375,-1058.630126953125,40.9930305480957
101,-1155.56787109375,-1219.3240966796875,-1054.567626953125,43.07820129394531
102,-1150.992431640625,-1219.6812744140625,-1049.5103759765623,45.40420150756836
103,-1145.354736328125,-1217.3258056640625,-1040.3543701171877,46.95255661010742
104,-1141.526611328125,-1215.35791015625,-1037.1993408203123,47.64585494995117
