Step,Value
0,183.429336547852
1,164.245208740234
2,135.728652954102
3,128.678970336914
4,134.550994873047
5,134.114944458008
6,137.992218017578
7,130.584594726563
8,132.711334228516
9,137.687896728516
10,134.113677978516
11,135.551605224609
12,137.075134277344
13,135.252517700195
14,140.069366455078
15,146.523208618164
16,145.37939453125
17,162.41796875
18,160.289947509766
19,159.622451782227
20,158.433883666992
21,159.179733276367
22,159.150299072266
23,156.519897460938
24,156.460891723633
25,153.898468017578
26,153.755966186523
27,153.961975097656
28,152.267425537109
29,151.191299438477
30,148.707763671875
32,146.942245483398
33,146.694885253906
34,149.228668212891
35,148.511306762695
36,146.800094604492
37,145.193359375
38,144.071975708008
39,142.612915039063
40,142.263854980469
41,142.27424621582
42,141.655136108398
43,141.412368774414
44,140.58528137207
45,139.870422363281
46,138.568222045898
47,137.81086730957
48,137.062973022461
49,135.876052856445
50,135.464416503906
51,134.265869140625
52,133.355056762695
53,132.372772216797
54,131.272125244141
55,130.991333007813
56,132.243148803711
57,132.198654174805
58,132.616149902344
59,137.282669067383
60,140.366409301758
61,140.821380615234
62,141.125366210938
63,141.168334960938
64,141.439651489258
65,145.12939453125
66,144.395950317383
67,144.187515258789
68,144.218170166016
69,144.021286010742
70,143.618362426758
71,143.041519165039
72,142.285568237305
73,141.879302978516
74,140.85563659668
75,140.354919433594
76,140.882110595703
77,141.604110717773
78,142.977127075195
79,143.362579345703
80,143.284484863281
81,143.988479614258
82,144.059997558594
83,143.865356445313
84,143.711761474609
85,144.37922668457
86,144.526626586914
87,143.923919677734
88,144.964660644531
89,144.563354492188
90,147.132293701172
91,147.626220703125
92,147.44287109375
93,148.706588745117
94,148.354354858398
95,149.04020690918
96,149.381469726563
97,149.49382019043
98,152.512405395508
99,152.679901123047
100,153.744232177734
101,154.878067016602
102,155.25862121582
103,156.393295288086
104,157.760238647461
105,160.124328613281
106,160.388854980469
107,159.629608154297
108,159.765930175781
109,161.172485351563
110,160.735504150391
111,162.159408569336
112,162.018051147461
113,161.656387329102
114,164.511688232422
115,163.994186401367
116,163.247131347656
117,163.822235107422
118,164.149276733398
119,165.170852661133
120,166.688278198242
121,166.616333007813
122,165.843826293945
123,167.200042724609
124,168.525360107422
125,169.149810791016
126,170.327529907227
127,170.724044799805
128,171.701614379883
129,173.985290527344
130,175.308197021484
131,177.423812866211
132,179.230819702148
133,179.001998901367
134,179.483703613281
135,180.103454589844
136,180.902740478516
137,181.988479614258
138,182.393173217773
139,183.6044921875
140,184.445983886719
141,184.997283935547
142,185.442825317383
143,186.698272705078
144,191.736618041992
145,192.979614257813
146,194.258193969727
147,194.294296264648
148,195.342758178711
149,195.706436157227
150,195.744720458984
151,195.727401733398
152,198.934326171875
153,199.267547607422
154,200.394439697266
155,201.000534057617
156,200.211517333984
157,200.322204589844
158,200.346588134766
159,196.942169189453
160,194.752395629883
161,194.138427734375
162,195.060333251953
163,195.435394287109
164,194.635147094727
165,191.549453735352
166,191.730087280273
167,194.688613891602
168,194.413696289063
169,194.274749755859
170,194.061416625977
171,197.514282226563
172,197.565322875977
173,198.472991943359
174,198.951721191406
175,199.179901123047
176,198.291442871094
177,197.542602539063
178,196.489776611328
179,196.281005859375
180,197.755264282227
181,197.77685546875
182,199.385147094727
183,199.507461547852
184,199.673706054688
185,200.916717529297
186,201.34912109375
187,201.875091552734
188,202.028442382812
189,202.229995727539
190,203.311279296875
191,202.580718994141
192,203.136184692383
193,201.810943603516
194,203.507141113281
195,203.523880004883
196,203.073684692383
197,204.028564453125
198,202.613861083984
199,203.1396484375
200,202.111679077148
201,201.132049560547
202,204.609832763672
203,204.557037353516
204,204.213653564453
205,201.272964477539
206,202.92366027832
207,203.359680175781
208,204.965866088867
209,204.304077148437
210,206.084548950195
211,206.018188476562
212,205.719085693359
213,206.083251953125
214,204.156097412109
215,203.596466064453
216,205.612930297852
217,205.159957885742
218,205.753158569336
219,204.360824584961
220,204.264923095703
221,204.149826049805
222,204.941360473633
223,203.530456542969
224,203.06103515625
225,201.951889038086
226,200.93815612793
227,200.858642578125
228,199.525726318359
229,197.535064697266
230,196.257507324219
231,195.447677612305
232,195.655654907227
233,195.911514282227
234,198.261947631836
235,198.386199951172
236,198.816284179688
237,198.121704101563
238,197.957107543945
239,197.715621948242
240,196.807540893555
241,197.165313720703
242,196.601379394531
243,197.106353759766
244,192.781051635742
245,193.110290527344
246,193.143432617188
247,194.069717407227
248,193.01448059082
249,192.471084594727
250,192.124633789063
251,192.556365966797
252,189.890884399414
253,191.068145751953
254,192.074096679688
255,194.755096435547
256,194.923278808594
257,194.658096313477
258,196.49821472168
259,198.627502441406
260,201.130340576172
261,201.511703491211
262,200.434829711914
263,199.995819091797
264,202.495788574219
265,203.127090454102
266,202.878479003906
267,200.091873168945
268,202.895889282227
269,203.776000976563
270,205.698348999023
271,203.931350708008
272,205.067932128906
273,204.421920776367
274,208.788330078125
275,211.081756591797
276,214.244812011719
277,215.517730712891
278,216.163452148437
279,216.615905761719
280,215.809326171875
281,214.612121582031
282,212.898651123047
283,213.182403564453
284,213.551239013672
285,212.260345458984
286,212.868865966797
287,215.365097045898
288,215.205505371094
289,215.099380493164
290,211.060485839844
291,212.051452636719
292,211.598175048828
293,213.205581665039
294,214.434280395508
295,216.953277587891
296,217.805206298828
297,216.322479248047
298,216.231262207031
299,215.597793579102
300,215.33317565918
301,214.746932983398
302,210.789093017578
303,212.576324462891
304,211.698379516602
305,215.464645385742
306,215.919342041016
307,216.054016113281
308,215.587509155273
309,218.471664428711
310,216.473388671875
311,215.110168457031
312,215.928634643555
313,215.993804931641
314,220.293563842773
315,221.570938110352
316,222.531967163086
317,222.255599975586
318,219.614990234375
319,220.546340942383
320,218.558715820313
321,220.261596679688
322,220.140319824219
323,221.581298828125
324,222.924697875977
325,222.754928588867
326,223.022109985352
327,222.366836547852
328,224.373611450195
329,224.232650756836
330,225.27278137207
331,227.632461547852
332,230.277008056641
333,230.271392822266
334,227.005493164062
335,227.405731201172
336,226.826675415039
337,226.601181030273
338,227.122756958008
339,228.915161132812
340,230.487365722656
341,229.876083374023
342,231.202697753906
343,229.183441162109
344,228.570327758789
345,226.893661499023
346,227.683959960937
347,226.750289916992
348,226.9462890625
349,228.237808227539
350,230.087142944336
351,233.218948364258
352,232.813873291016
353,232.053375244141
354,232.553421020508
355,230.751724243164
356,231.140090942383
357,230.875762939453
358,228.609970092773
359,228.388809204102
360,227.739395141602
361,230.122985839844
362,231.779998779297
363,232.418426513672
364,231.408355712891
365,234.842224121094
366,235.144577026367
367,237.196182250977
368,234.688934326172
369,233.826858520508
370,232.470581054688
371,232.137924194336
372,232.016128540039
373,232.843002319336
374,229.325912475586
375,228.180786132812
376,227.913528442383
377,227.58235168457
378,231.829925537109
379,235.750137329102
380,235.118438720703
381,236.245620727539
382,236.805267333984
383,239.772933959961
384,239.047775268555
385,238.983505249023
386,237.404159545898
387,236.680084228516
388,235.504425048828
389,236.881484985352
390,240.307815551758
391,240.759048461914
392,241.833068847656
393,242.557189941406
394,239.930053710937
395,236.341201782227
396,236.236099243164
397,237.903701782227
398,236.139038085937
399,239.542602539063
400,250.348709106445
401,254.231689453125
402,254.632141113281
403,254.369583129883
404,254.470031738281
405,250.618026733398
406,248.120986938477
407,256.129669189453
408,255.361343383789
409,252.788803100586
410,255.766128540039
411,257.266906738281
412,257.113891601562
413,263.015655517578
414,258.136749267578
415,257.128570556641
416,254.549819946289
417,256.061401367187
418,255.134750366211
419,255.436737060547
420,255.381942749023
421,260.024475097656
422,263.658905029297
423,262.501495361328
424,260.710205078125
425,264.312896728516
426,264.54150390625
427,264.357391357422
428,262.743286132812
429,262.614440917969
430,270.034301757812
431,268.292602539062
432,263.900024414062
433,264.032073974609
434,263.585876464844
435,265.831329345703
436,265.859741210937
437,267.213806152344
438,266.559326171875
439,269.256134033203
440,273.086181640625
441,273.533233642578
442,274.22216796875
443,274.584289550781
444,275.898956298828
445,276.790283203125
446,276.378784179687
447,277.529052734375
448,277.753601074219
449,277.518096923828
450,279.025848388672
451,276.530578613281
452,277.744567871094
453,278.225036621094
454,276.516845703125
455,279.493530273437
456,279.773803710937
457,281.638885498047
458,282.839019775391
459,280.642730712891
460,281.444030761719
461,282.102172851563
462,280.012176513672
463,279.653594970703
464,280.049530029297
465,281.990447998047
466,283.102172851562
467,285.414642333984
468,286.1044921875
469,287.893402099609
470,288.336761474609
471,288.419799804687
472,287.4423828125
473,286.63720703125
474,292.511871337891
475,291.156219482422
476,288.850830078125
477,290.017028808594
478,285.961456298828
479,281.529449462891
480,281.363952636719
481,280.703399658203
482,282.587493896484
483,279.164794921875
484,279.636962890625
485,279.953002929687
486,281.984069824219
487,280.383911132812
488,280.526489257812
489,283.826599121094
490,281.233642578125
491,280.843170166016
492,282.016296386719
493,279.826446533203
494,281.103118896484
495,281.556823730469
496,283.025848388672
497,284.05419921875
498,284.295684814453
499,285.108459472656
