Step,Value,Min,Max,Error
1,-1229.146728515625,-1716.781982421875,-874.904052734375,262.05636596679693
2,-1208.265625,-1703.9290771484375,-893.2713623046875,212.6587829589844
3,-1172.2353515625,-1728.9649658203125,-829.1675415039062,245.52122497558597
4,-1152.5269775390625,-1664.7034912109375,-796.6133422851562,222.41616821289062
5,-1171.416259765625,-1808.5260009765625,-764.444091796875,275.80252075195307
6,-1183.4422607421875,-1699.7027587890625,-786.0302734375,284.3921203613281
7,-1167.691650390625,-1596.624755859375,-873.7937622070312,240.4941711425781
8,-1229.6751708984375,-1714.5570068359375,-884.9435424804688,239.14108276367188
9,-1196.9736328125,-1721.03369140625,-762.68115234375,237.8845977783203
10,-1286.5406494140625,-1625.48876953125,-922.5856323242188,242.73487854003903
11,-1370.3558349609375,-1639.021728515625,-983.5072631835938,183.52557373046875
12,-1396.5213623046875,-1632.0760498046875,-1163.8160400390625,135.53607177734378
13,-1361.120361328125,-1629.4525146484375,-1054.797607421875,161.65232849121094
14,-1472.2841796875,-1733.1949462890625,-1125.4725341796877,154.46131896972656
15,-1531.2330322265625,-1764.73388671875,-1150.4840087890625,153.00733947753906
16,-1547.20068359375,-1778.3896484375,-1235.9014892578125,153.633056640625
17,-1630.76611328125,-1777.5966796875,-1390.8505859375,105.70919799804688
18,-1635.0966796875,-1753.33837890625,-1420.747802734375,100.87142181396484
19,-1634.751220703125,-1837.5035400390625,-1436.0565185546875,111.30852508544922
20,-1614.72412109375,-1843.4547119140625,-1360.37255859375,136.38327026367188
21,-1564.7435302734375,-1812.0382080078125,-1270.8756103515625,119.54203033447266
22,-1492.1884765625,-1742.6810302734375,-1207.126953125,107.37278747558594
23,-1483.0557861328125,-1652.21875,-1330.5047607421875,73.6792221069336
24,-1468.766845703125,-1689.7445068359375,-1131.82763671875,101.04328918457031
25,-1483.680419921875,-1715.7177734375,-1284.2569580078125,77.67185974121094
26,-1448.650390625,-1610.5771484375,-1081.019775390625,120.05393981933594
27,-1449.77587890625,-1646.5894775390625,-1144.602783203125,99.42965698242188
28,-1451.543212890625,-1568.2977294921875,-1299.5789794921875,66.65717315673828
29,-1484.86572265625,-1543.34765625,-1204.9713134765625,68.81504058837889
30,-1381.771728515625,-1521.28369140625,-9.741426467895508,319.18634033203125
31,-1431.277587890625,-1517.1212158203125,-1093.0006103515623,109.57831573486328
32,-1449.5245361328125,-1532.1558837890625,-1002.9842529296876,109.65646362304688
33,-1437.9705810546875,-1529.4990234375,-1332.1947021484375,63.78411483764648
34,-1353.56494140625,-1528.569091796875,-574.9025268554688,222.79595947265625
35,-1285.4322509765625,-1515.9246826171875,-286.8127136230469,292.4923400878906
36,-1272.6988525390625,-1514.1861572265625,-2.4151477813720703,429.9419860839844
37,-1183.5919189453125,-1509.791015625,-1.4592161178588867,435.289794921875
38,-1229.1483154296875,-1520.68505859375,-2.8686122894287114,421.56146240234375
39,-1359.0556640625,-1524.5299072265625,-520.355712890625,208.32334899902344
40,-1321.7789306640625,-1508.843505859375,-4.14444637298584,316.76824951171875
41,-1053.67431640625,-1505.055419921875,-1.8552663326263428,531.6212768554689
42,-1188.1368408203125,-1502.611083984375,-3.1132712364196777,416.5002136230469
43,-1222.9039306640625,-1502.1661376953125,-3.71906304359436,420.7900695800781
44,-1157.67333984375,-1496.0313720703125,-5.1317481994628915,403.1556091308594
45,-1105.2392578125,-1496.5509033203125,-1.7744107246398926,479.19677734375
46,-1133.2874755859375,-1501.0155029296875,-1.4346940517425537,288.48199462890625
47,-1037.403076171875,-1505.6649169921875,-0.5482245087623596,537.6030883789061
48,-1147.115478515625,-1495.13134765625,-15.013583183288574,292.7668151855469
49,-1224.233642578125,-1500.26708984375,-7.695737838745117,325.1842041015625
50,-997.5447387695312,-1497.7471923828125,-3.076067924499512,448.62982177734375
51,-1064.317626953125,-1501.81005859375,-6.790376663208008,322.945068359375
52,-1068.082763671875,-1499.198486328125,-1.6663589477539062,400.0826110839844
53,-1045.5540771484377,-1495.611572265625,-6.410959720611572,283.94842529296875
54,-986.847900390625,-1507.6600341796875,-3.885419368743897,481.8172912597656
55,-985.6760864257812,-1501.1981201171875,-3.3741528987884517,374.7454528808594
56,-906.1337890625,-1498.7783203125,-2.7921295166015625,474.23138427734375
57,-1096.3172607421877,-1514.1983642578125,-764.0003662109375,224.0113220214844
58,-906.33642578125,-1515.8597412109375,-132.76495361328122,307.0403747558594
59,-760.7182006835938,-1496.362060546875,-0.8657246232032776,439.8140258789063
60,-883.9232177734375,-1505.620361328125,-5.7236762046813965,391.4519348144531
61,-754.732666015625,-1500.864013671875,-138.32725524902344,363.8751831054688
62,-747.21728515625,-1507.0841064453125,-3.2805478572845463,474.8819580078125
63,-627.7865600585938,-1496.1175537109375,-2.0469000339508057,442.68743896484375
64,-731.1968994140625,-1504.522216796875,-2.477162599563598,507.8550720214844
65,-683.9265747070312,-1496.3631591796875,-1.0161190032958984,442.75103759765625
66,-524.2215576171875,-1497.455078125,-1.487730860710144,365.1998901367188
67,-564.7548217773438,-1493.515380859375,-131.01475524902344,389.37689208984375
68,-522.1240844726561,-1495.165283203125,-1.1592981815338137,470.83538818359375
69,-615.4367065429688,-1493.2562255859375,-128.31573486328122,446.63916015625
70,-464.6747131347656,-1497.6282958984375,-3.712684154510498,360.1306457519531
71,-473.6885070800781,-1491.40673828125,-2.5718276500701904,443.029541015625
72,-438.8517456054688,-1492.82421875,-3.5502507686614986,350.85986328125
73,-429.91094970703125,-1506.002685546875,-0.9315642714500428,375.185546875
